Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.72,0.72,0.72,0.72,56000,0.72
2011-08-03,0.72,0.72,0.72,0.72,4000,0.72
2011-08-02,0.73,0.74,0.72,0.72,198000,0.72
2011-08-01,0.70,0.72,0.70,0.72,353000,0.72
2011-07-29,0.69,0.70,0.69,0.69,157000,0.69
2011-07-28,0.69,0.69,0.69,0.69,173000,0.69
2011-07-27,0.69,0.69,0.68,0.69,395000,0.69
2011-07-26,0.69,0.71,0.69,0.69,967000,0.69
2011-07-25,0.67,0.73,0.67,0.72,99000,0.72
2011-07-22,0.72,0.72,0.65,0.72,103000,0.72
2011-07-21,0.71,0.71,0.70,0.71,137000,0.71
2011-07-20,0.71,0.71,0.70,0.70,228000,0.70
2011-07-19,0.70,0.70,0.68,0.70,96000,0.70
2011-07-18,0.69,0.70,0.69,0.70,45000,0.70
2011-07-15,0.67,0.69,0.67,0.69,92000,0.69
2011-07-14,0.65,0.69,0.65,0.69,144000,0.69
2011-07-13,0.65,0.65,0.64,0.64,30000,0.64
2011-07-12,0.65,0.65,0.64,0.64,166000,0.64
2011-07-11,0.64,0.64,0.64,0.64,3000,0.64
2011-07-08,0.64,0.65,0.63,0.64,270000,0.64
2011-07-07,0.63,0.64,0.63,0.63,115000,0.63
2011-07-06,0.63,0.63,0.63,0.63,69000,0.63
2011-07-05,0.63,0.63,0.63,0.63,10000,0.63
2011-07-04,0.62,0.63,0.62,0.63,127000,0.63
2011-07-01,0.61,0.62,0.61,0.62,115000,0.62
2011-06-30,0.61,0.63,0.61,0.62,727000,0.62
2011-06-29,0.61,0.61,0.61,0.61,518000,0.61
2011-06-28,0.62,0.62,0.61,0.62,404000,0.62
2011-06-27,0.62,0.62,0.61,0.61,55000,0.61
2011-06-24,0.62,0.62,0.62,0.62,229000,0.62
2011-06-23,0.62,0.64,0.61,0.62,669000,0.62
2011-06-22,0.63,0.63,0.63,0.63,13000,0.63
2011-06-21,0.63,0.63,0.62,0.62,219000,0.62
2011-06-20,0.64,0.64,0.64,0.64,202000,0.64
2011-06-17,0.65,0.65,0.65,0.65,192000,0.65
2011-06-16,0.66,0.66,0.65,0.66,215000,0.66
2011-06-15,0.68,0.68,0.67,0.67,60000,0.67
2011-06-14,0.68,0.69,0.68,0.68,296000,0.68
2011-06-13,0.69,0.69,0.67,0.68,856000,0.68
2011-06-10,0.70,0.70,0.69,0.70,500000,0.70
2011-06-09,0.70,0.70,0.70,0.70,70000,0.70
2011-06-08,0.72,0.72,0.72,0.72,16000,0.72
2011-06-07,0.70,0.71,0.69,0.70,447000,0.70
2011-06-06,0.70,0.75,0.70,0.70,000,0.70
2011-06-03,0.72,0.72,0.71,0.71,64000,0.71
2011-06-02,0.71,0.73,0.71,0.71,000,0.71
2011-06-01,0.73,0.73,0.73,0.73,30000,0.73
2011-05-31,0.72,0.74,0.71,0.73,245000,0.73
2011-05-30,0.73,0.73,0.73,0.73,132000,0.73
2011-05-27,0.73,0.73,0.73,0.73,217000,0.73
2011-05-26,0.73,0.75,0.73,0.75,544000,0.75
2011-05-25,0.75,0.75,0.74,0.75,74000,0.75
2011-05-24,0.75,0.75,0.74,0.75,271000,0.75
2011-05-23,0.73,0.75,0.73,0.75,217000,0.75
2011-05-20,0.75,0.75,0.75,0.75,25000,0.75
2011-05-19,0.75,0.76,0.75,0.75,1578000,0.75
2011-05-18,0.75,0.75,0.74,0.75,427000,0.75
2011-05-16,0.74,0.75,0.74,0.75,70000,0.75
2011-05-13,0.75,0.75,0.75,0.75,415000,0.75
2011-05-12,0.74,0.74,0.74,0.74,50000,0.74
2011-05-11,0.75,0.75,0.74,0.74,106000,0.74
2011-05-10,0.73,0.75,0.73,0.73,000,0.73
2011-05-09,0.75,0.75,0.75,0.75,645000,0.75
2011-05-06,0.75,0.75,0.75,0.75,711000,0.75
2011-05-05,0.75,0.75,0.75,0.75,6000,0.75
2011-05-04,0.74,0.75,0.74,0.75,49000,0.75
2011-05-03,0.75,0.75,0.74,0.74,99000,0.74
2011-04-29,0.75,0.75,0.75,0.75,2000,0.75
2011-04-28,0.76,0.76,0.76,0.76,16000,0.76
2011-04-27,0.80,0.80,0.80,0.80,10000,0.80
2011-04-26,0.76,0.77,0.76,0.77,80000,0.77
2011-04-25,0.76,0.80,0.76,0.76,000,0.76
2011-04-21,0.78,0.78,0.77,0.77,75000,0.77
2011-04-20,0.78,0.80,0.78,0.79,36000,0.79
2011-04-19,0.76,0.76,0.76,0.76,22000,0.76
2011-04-18,0.76,0.77,0.76,0.76,577000,0.76
2011-04-15,0.77,0.77,0.76,0.77,533000,0.77
2011-04-14,0.77,0.77,0.77,0.77,320000,0.77
2011-04-13,0.77,0.77,0.77,0.77,64000,0.77
2011-04-12,0.78,0.78,0.77,0.78,72000,0.78
2011-04-11,0.77,0.77,0.77,0.77,50000,0.77
2011-04-08,0.76,0.76,0.76,0.76,17000,0.76
2011-04-07,0.75,0.76,0.75,0.76,37000,0.76
2011-04-06,0.75,0.78,0.75,0.75,46000,0.75
2011-04-05,0.75,0.77,0.75,0.75,000,0.75
2011-04-04,0.76,0.76,0.75,0.75,40000,0.75
2011-04-01,0.77,0.77,0.76,0.76,13000,0.76
2011-03-31,0.77,0.77,0.77,0.77,19000,0.77
2011-03-30,0.77,0.77,0.77,0.77,60000,0.77
2011-03-29,0.76,0.76,0.75,0.75,287000,0.75
2011-03-28,0.78,0.78,0.77,0.78,90000,0.78
2011-03-25,0.79,0.79,0.79,0.79,2000,0.79
2011-03-24,0.78,0.80,0.78,0.78,10000,0.78
2011-03-23,0.79,0.80,0.78,0.78,74000,0.78
2011-03-22,0.80,0.80,0.78,0.79,15000,0.79
2011-03-21,0.78,0.80,0.78,0.78,42000,0.78
2011-03-18,0.80,0.80,0.80,0.80,71000,0.80
2011-03-17,0.76,0.78,0.76,0.77,72000,0.77
2011-03-16,0.77,0.78,0.77,0.78,15000,0.78
2011-03-15,0.78,0.78,0.75,0.75,69000,0.75
2011-03-14,0.79,0.79,0.78,0.78,24000,0.78
2011-03-11,0.80,0.80,0.80,0.80,50000,0.80
2011-03-10,0.80,0.80,0.80,0.80,1000,0.80
2011-03-09,0.80,0.80,0.80,0.80,32000,0.80
2011-03-08,0.80,0.80,0.80,0.80,10000,0.80
2011-03-07,0.80,0.81,0.80,0.80,68000,0.80
2011-03-04,0.80,0.80,0.80,0.80,2000,0.80
2011-03-03,0.76,0.83,0.75,0.81,253000,0.81
2011-03-02,0.76,0.77,0.75,0.77,22000,0.77
2011-03-01,0.75,0.77,0.75,0.77,101000,0.77
2011-02-28,0.75,0.75,0.75,0.75,80000,0.75
2011-02-25,0.75,0.75,0.75,0.75,100000,0.75
2011-02-24,0.76,0.76,0.75,0.75,71000,0.75
2011-02-23,0.75,0.75,0.75,0.75,1042000,0.75
2011-02-22,0.77,0.77,0.75,0.77,280000,0.77
2011-02-21,0.78,0.78,0.77,0.77,32000,0.77
2011-02-18,0.76,0.78,0.76,0.78,51000,0.78
2011-02-17,0.75,0.75,0.75,0.75,19000,0.75
2011-02-16,0.76,0.77,0.74,0.74,185000,0.74
2011-02-15,0.76,0.79,0.76,0.77,107000,0.77
2011-02-14,0.76,0.80,0.76,0.80,17000,0.80
2011-02-11,0.77,0.80,0.77,0.77,24000,0.77
2011-02-10,0.77,0.80,0.77,0.80,141000,0.80
2011-02-09,0.77,0.77,0.76,0.76,56000,0.76
2011-02-08,0.76,0.77,0.75,0.75,43000,0.75
2011-02-07,0.78,0.78,0.78,0.78,28000,0.78
2011-02-02,0.77,0.79,0.77,0.79,22000,0.79
