Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.53,0.64,0.53,0.53,000,0.53
2011-08-03,0.58,0.58,0.58,0.58,8000,0.58
2011-08-02,0.58,0.63,0.58,0.58,000,0.58
2011-08-01,0.60,0.60,0.60,0.60,10000,0.60
2011-07-29,0.60,0.60,0.60,0.60,15000,0.60
2011-07-28,0.58,0.63,0.58,0.58,000,0.58
2011-07-27,0.62,0.62,0.62,0.62,5000,0.62
2011-07-26,0.58,0.63,0.58,0.58,000,0.58
2011-07-25,0.60,0.62,0.60,0.62,8000,0.62
2011-07-22,0.60,0.60,0.60,0.60,10000,0.60
2011-07-21,0.60,0.61,0.60,0.61,24000,0.61
2011-07-20,0.61,0.61,0.61,0.61,14000,0.61
2011-07-19,0.60,0.60,0.60,0.60,2000,0.60
2011-07-18,0.62,0.62,0.62,0.62,4000,0.62
2011-07-15,0.58,0.68,0.58,0.58,000,0.58
2011-07-14,0.58,0.67,0.58,0.58,000,0.58
2011-07-13,0.60,0.69,0.60,0.60,000,0.60
2011-07-12,0.62,0.62,0.62,0.62,5000,0.62
2011-07-11,0.63,0.63,0.63,0.63,1000,0.63
2011-07-08,0.64,0.70,0.64,0.64,000,0.64
2011-07-07,0.62,0.69,0.62,0.62,000,0.62
2011-07-06,0.60,0.66,0.60,0.60,000,0.60
2011-07-05,0.59,0.66,0.59,0.59,000,0.59
2011-07-04,0.61,0.65,0.61,0.61,000,0.61
2011-07-01,0.61,0.61,0.61,0.61,5000,0.61
2011-06-30,0.61,0.64,0.61,0.61,000,0.61
2011-06-29,0.60,0.64,0.60,0.60,000,0.60
2011-06-28,0.61,0.64,0.61,0.61,000,0.61
2011-06-27,0.60,0.63,0.60,0.60,000,0.60
2011-06-24,0.59,0.59,0.59,0.59,10000,0.59
2011-06-23,0.58,0.61,0.58,0.58,000,0.58
2011-06-22,0.59,0.59,0.59,0.59,7000,0.59
2011-06-21,0.58,0.58,0.58,0.58,7000,0.58
2011-06-20,0.57,0.60,0.57,0.57,000,0.57
2011-06-17,0.67,0.67,0.58,0.58,120000,0.58
2011-06-16,0.65,0.67,0.65,0.65,000,0.65
2011-06-15,0.63,0.69,0.63,0.63,000,0.63
2011-06-14,0.67,0.67,0.67,0.67,20000,0.67
2011-06-13,0.67,0.72,0.67,0.67,000,0.67
2011-06-10,0.67,0.74,0.67,0.67,000,0.67
2011-06-09,0.67,0.74,0.67,0.67,000,0.67
2011-06-08,0.75,0.75,0.75,0.75,000,0.75
2011-06-07,0.67,0.76,0.67,0.67,000,0.67
2011-06-06,0.67,0.77,0.67,0.67,000,0.67
2011-06-03,0.68,0.74,0.68,0.68,000,0.68
2011-06-02,0.69,0.75,0.69,0.69,000,0.69
2011-06-01,0.68,0.75,0.68,0.68,000,0.68
2011-05-31,0.72,0.72,0.72,0.72,14000,0.72
2011-05-30,0.69,0.70,0.69,0.70,12000,0.70
2011-05-27,0.68,0.70,0.68,0.70,15000,0.70
2011-05-26,0.70,0.76,0.70,0.70,000,0.70
2011-05-25,0.67,0.76,0.67,0.67,000,0.67
2011-05-24,0.66,0.76,0.66,0.66,000,0.66
2011-05-23,0.71,0.71,0.71,0.71,10000,0.71
2011-05-20,0.71,0.76,0.71,0.71,000,0.71
2011-05-19,0.71,0.75,0.71,0.71,000,0.71
2011-05-18,0.69,0.76,0.69,0.69,000,0.69
2011-05-16,0.70,0.75,0.70,0.70,000,0.70
2011-05-13,0.71,0.71,0.71,0.71,2000,0.71
2011-05-12,0.71,0.78,0.71,0.71,000,0.71
2011-05-11,0.70,0.77,0.70,0.70,000,0.70
2011-05-10,0.73,0.77,0.73,0.73,000,0.73
2011-05-09,0.69,0.78,0.69,0.69,000,0.69
2011-05-06,0.70,0.78,0.70,0.70,000,0.70
2011-05-05,0.70,0.75,0.70,0.70,000,0.70
2011-05-04,0.74,0.74,0.74,0.74,18000,0.74
2011-05-03,0.71,0.75,0.71,0.71,000,0.71
2011-04-29,0.78,0.78,0.78,0.78,000,0.78
2011-04-28,0.71,0.78,0.71,0.71,000,0.71
2011-04-27,0.75,0.76,0.74,0.76,27000,0.76
2011-04-26,0.75,0.82,0.75,0.75,000,0.75
2011-04-25,0.78,0.82,0.78,0.78,000,0.78
2011-04-21,0.78,0.80,0.78,0.78,000,0.78
2011-04-20,0.74,0.79,0.74,0.74,000,0.74
2011-04-19,0.74,0.79,0.74,0.74,000,0.74
2011-04-18,0.73,0.79,0.73,0.73,000,0.73
2011-04-15,0.77,0.81,0.77,0.77,000,0.77
2011-04-14,0.75,0.80,0.75,0.75,000,0.75
2011-04-13,0.74,0.82,0.74,0.74,000,0.74
2011-04-12,0.77,0.80,0.77,0.77,000,0.77
2011-04-11,0.78,0.78,0.78,0.78,18000,0.78
2011-04-08,0.74,0.75,0.74,0.75,11000,0.75
2011-04-07,0.76,0.82,0.76,0.76,000,0.76
2011-04-06,0.76,0.79,0.76,0.79,67000,0.79
2011-04-05,0.75,0.79,0.75,0.75,000,0.75
2011-04-04,0.75,0.78,0.75,0.75,000,0.75
2011-04-01,0.75,0.75,0.75,0.75,10000,0.75
2011-03-31,0.73,0.73,0.73,0.73,5000,0.73
2011-03-30,0.74,0.74,0.74,0.74,10000,0.74
2011-03-29,0.73,0.74,0.73,0.73,000,0.73
2011-03-28,0.74,0.74,0.74,0.74,10000,0.74
2011-03-25,0.74,0.75,0.73,0.75,232000,0.75
2011-03-24,0.73,0.73,0.73,0.73,10000,0.73
2011-03-23,0.70,0.77,0.70,0.70,000,0.70
2011-03-22,0.70,0.78,0.70,0.70,000,0.70
2011-03-21,0.70,0.78,0.70,0.70,000,0.70
2011-03-18,0.63,0.78,0.63,0.63,000,0.63
2011-03-17,0.70,0.78,0.70,0.70,000,0.70
