Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.01,0.01,0.01,0.01,130000,0.01
2011-08-03,0.01,0.01,0.01,0.01,130000,0.01
2011-08-02,0.01,0.01,0.01,0.01,000,0.01
2011-08-01,0.01,0.01,0.01,0.01,50000,0.01
2011-07-29,0.01,0.01,0.01,0.01,000,0.01
2011-07-28,0.01,0.01,0.01,0.01,000,0.01
2011-07-27,0.01,0.01,0.01,0.01,190000,0.01
2011-07-26,0.01,0.01,0.01,0.01,000,0.01
2011-07-25,0.01,0.01,0.01,0.01,445000,0.01
2011-07-22,0.01,0.01,0.01,0.01,12000,0.01
2011-07-21,0.01,0.01,0.01,0.01,000,0.01
2011-07-20,0.01,0.01,0.01,0.01,425000,0.01
2011-07-19,0.01,0.01,0.01,0.01,350000,0.01
2011-07-18,0.01,0.01,0.01,0.01,916000,0.01
2011-07-15,0.01,0.01,0.01,0.01,300000,0.01
2011-07-14,0.01,0.01,0.01,0.01,95000,0.01
2011-07-13,0.01,0.01,0.01,0.01,90000,0.01
2011-07-12,0.01,0.01,0.01,0.01,18000,0.01
2011-07-11,0.01,0.01,0.01,0.01,300000,0.01
2011-07-08,0.01,0.01,0.01,0.01,1590000,0.01
2011-07-07,0.01,0.01,0.01,0.01,2859000,0.01
2011-07-06,0.01,0.01,0.01,0.01,000,0.01
2011-07-05,0.01,0.01,0.01,0.01,588000,0.01
2011-07-04,0.01,0.01,0.01,0.01,700000,0.01
2011-07-01,0.01,0.01,0.01,0.01,000,0.01
2011-06-30,0.01,0.01,0.01,0.01,109000,0.01
2011-06-29,0.01,0.01,0.01,0.01,600000,0.01
2011-06-28,0.01,0.01,0.01,0.01,195000,0.01
2011-06-27,0.01,0.01,0.01,0.01,000,0.01
2011-06-24,0.01,0.01,0.01,0.01,000,0.01
2011-06-23,0.01,0.01,0.01,0.01,46000,0.01
2011-06-22,0.01,0.01,0.01,0.01,349000,0.01
2011-06-21,0.01,0.01,0.01,0.01,349000,0.01
2011-06-20,0.01,0.01,0.01,0.01,213000,0.01
2011-06-17,0.01,0.01,0.01,0.01,720000,0.01
2011-06-16,0.01,0.01,0.01,0.01,164000,0.01
2011-06-15,0.01,0.01,0.01,0.01,708000,0.01
2011-06-14,0.01,0.01,0.01,0.01,000,0.01
2011-06-13,0.01,0.01,0.01,0.01,000,0.01
2011-06-10,0.01,0.01,0.01,0.01,249000,0.01
2011-06-09,0.01,0.01,0.01,0.01,000,0.01
2011-06-08,0.01,0.01,0.01,0.01,30000,0.01
2011-06-07,0.01,0.01,0.01,0.01,000,0.01
2011-06-06,0.01,0.01,0.01,0.01,000,0.01
2011-06-03,0.01,0.01,0.01,0.01,2201000,0.01
2011-06-02,0.01,0.01,0.01,0.01,000,0.01
2011-06-01,0.01,0.01,0.01,0.01,51000,0.01
2011-05-31,0.01,0.01,0.01,0.01,000,0.01
2011-05-30,0.01,0.01,0.01,0.01,93000,0.01
2011-05-27,0.01,0.01,0.01,0.01,205000,0.01
2011-05-26,0.01,0.01,0.01,0.01,42000,0.01
2011-05-25,0.01,0.01,0.01,0.01,20000,0.01
2011-05-24,0.01,0.01,0.01,0.01,18000,0.01
2011-05-23,0.01,0.01,0.01,0.01,000,0.01
2011-05-20,0.01,0.01,0.01,0.01,465000,0.01
2011-05-19,0.01,0.01,0.01,0.01,56000,0.01
2011-05-18,0.01,0.01,0.01,0.01,000,0.01
2011-05-16,0.01,0.01,0.01,0.01,300000,0.01
2011-05-13,0.01,0.01,0.01,0.01,304000,0.01
2011-05-12,0.01,0.01,0.01,0.01,300000,0.01
2011-05-11,0.01,0.01,0.01,0.01,650000,0.01
2011-05-10,0.01,0.01,0.01,0.01,200000,0.01
2011-05-09,0.01,0.01,0.01,0.01,100000,0.01
2011-05-06,0.01,0.01,0.01,0.01,100000,0.01
2011-05-05,0.01,0.01,0.01,0.01,000,0.01
2011-05-04,0.01,0.01,0.01,0.01,630000,0.01
2011-05-03,0.01,0.01,0.01,0.01,810000,0.01
2011-04-29,0.01,0.01,0.01,0.01,141000,0.01
2011-04-28,0.01,0.01,0.01,0.01,50000,0.01
2011-04-27,0.01,0.01,0.01,0.01,70000,0.01
2011-04-26,0.01,0.01,0.01,0.01,2540000,0.01
2011-04-25,0.01,0.01,0.01,0.01,000,0.01
2011-04-21,0.01,0.01,0.01,0.01,000,0.01
2011-04-20,0.01,0.01,0.01,0.01,218000,0.01
2011-04-19,0.01,0.01,0.01,0.01,10000,0.01
2011-04-18,0.01,0.01,0.01,0.01,340000,0.01
2011-04-15,0.01,0.01,0.01,0.01,30000,0.01
2011-04-14,0.01,0.01,0.01,0.01,000,0.01
2011-04-13,0.01,0.01,0.01,0.01,000,0.01
2011-04-12,0.01,0.01,0.01,0.01,000,0.01
2011-04-11,0.01,0.01,0.01,0.01,123000,0.01
2011-04-08,0.01,0.01,0.01,0.01,335000,0.01
2011-04-07,0.01,0.01,0.01,0.01,50000,0.01
2011-04-06,0.01,0.01,0.01,0.01,635000,0.01
2011-04-05,0.01,0.01,0.01,0.01,1330000,0.01
2011-04-04,0.01,0.01,0.01,0.01,203000,0.01
2011-04-01,0.01,0.01,0.01,0.01,560000,0.01
2011-03-31,0.01,0.01,0.01,0.01,10000,0.01
2011-03-30,0.01,0.01,0.01,0.01,600000,0.01
2011-03-29,0.01,0.01,0.01,0.01,000,0.01
2011-03-28,0.01,0.01,0.01,0.01,80000,0.01
2011-03-25,0.01,0.01,0.01,0.01,71000,0.01
2011-03-24,0.01,0.01,0.01,0.01,000,0.01
2011-03-23,0.01,0.01,0.01,0.01,734000,0.01
2011-03-22,0.01,0.01,0.01,0.01,100000,0.01
2011-03-21,0.01,0.01,0.01,0.01,900000,0.01
2011-03-18,0.01,0.01,0.01,0.01,329000,0.01
2011-03-17,0.01,0.02,0.01,0.01,000,0.01
2011-03-16,0.01,0.01,0.01,0.01,2130000,0.01
2011-03-15,0.01,0.01,0.01,0.01,370000,0.01
2011-03-14,0.01,0.01,0.01,0.01,1000000,0.01
2011-03-11,0.01,0.01,0.01,0.01,1192000,0.01
2011-03-10,0.01,0.01,0.01,0.01,000,0.01
2011-03-09,0.01,0.01,0.01,0.01,2253000,0.01
2011-03-08,0.01,0.01,0.01,0.01,861000,0.01
2011-03-07,0.01,0.01,0.01,0.01,2819000,0.01
2011-03-04,0.01,0.01,0.01,0.01,4407000,0.01
2011-03-03,0.02,0.02,0.01,0.01,9306000,0.01
2011-03-02,0.02,0.02,0.02,0.02,6402000,0.02
2011-03-01,0.02,0.02,0.02,0.02,250000,0.02
2011-02-28,0.03,0.03,0.03,0.03,580000,0.03
2011-02-25,0.03,0.03,0.02,0.02,320000,0.02
2011-02-24,0.03,0.03,0.03,0.03,200000,0.03
2011-02-23,0.02,0.02,0.02,0.02,20000,0.02
2011-02-22,0.03,0.03,0.03,0.03,50000,0.03
2011-02-21,0.03,0.03,0.03,0.03,350000,0.03
2011-02-18,0.02,0.03,0.02,0.03,140000,0.03
2011-02-17,0.03,0.03,0.03,0.03,400000,0.03
2011-02-16,0.02,0.03,0.02,0.02,000,0.02
2011-02-15,0.02,0.03,0.02,0.02,000,0.02
2011-02-14,0.03,0.03,0.03,0.03,500000,0.03
2011-02-11,0.03,0.03,0.03,0.03,486000,0.03
2011-02-10,0.03,0.03,0.03,0.03,1347000,0.03
2011-02-09,0.03,0.03,0.03,0.03,100000,0.03
2011-02-08,0.03,0.03,0.03,0.03,300000,0.03
2011-02-07,0.03,0.03,0.03,0.03,730000,0.03
2011-02-02,0.03,0.03,0.03,0.03,000,0.03
2011-02-01,0.03,0.03,0.03,0.03,200000,0.03
2011-01-31,0.03,0.03,0.03,0.03,66000,0.03
2011-01-28,0.03,0.03,0.03,0.03,8000,0.03
2011-01-27,0.03,0.03,0.03,0.03,000,0.03
2011-01-26,0.03,0.03,0.03,0.03,256000,0.03
2011-01-25,0.03,0.03,0.03,0.03,171000,0.03
2011-01-24,0.03,0.03,0.03,0.03,2693000,0.03
2011-01-21,0.03,0.03,0.03,0.03,40000,0.03
2011-01-20,0.03,0.03,0.03,0.03,750000,0.03
2011-01-19,0.03,0.03,0.03,0.03,40000,0.03
2011-01-18,0.03,0.03,0.03,0.03,640000,0.03
2011-01-17,0.03,0.03,0.03,0.03,186000,0.03
2011-01-14,0.03,0.03,0.03,0.03,5000,0.03
2011-01-13,0.03,0.03,0.03,0.03,2160000,0.03
2011-01-12,0.03,0.03,0.03,0.03,612000,0.03
2011-01-11,0.03,0.03,0.03,0.03,000,0.03
2011-01-10,0.03,0.03,0.03,0.03,360000,0.03
2011-01-07,0.03,0.03,0.03,0.03,4780000,0.03
2011-01-06,0.03,0.03,0.03,0.03,250000,0.03
2011-01-05,0.03,0.03,0.03,0.03,120000,0.03
2011-01-04,0.03,0.03,0.03,0.03,510000,0.03
2011-01-03,0.03,0.03,0.03,0.03,745000,0.03
2010-12-31,0.02,0.03,0.02,0.02,000,0.02
2010-12-30,0.03,0.03,0.03,0.03,389000,0.03
2010-12-29,0.03,0.03,0.03,0.03,63000,0.03
2010-12-28,0.03,0.03,0.03,0.03,79000,0.03
2010-12-27,0.02,0.03,0.02,0.02,000,0.02
2010-12-24,0.02,0.03,0.02,0.02,000,0.02
2010-12-23,0.03,0.03,0.03,0.03,266000,0.03
2010-12-22,0.03,0.03,0.03,0.03,240000,0.03
2010-12-21,0.03,0.03,0.03,0.03,300000,0.03
2010-12-20,0.02,0.03,0.02,0.02,000,0.02
2010-12-17,0.03,0.03,0.03,0.03,750000,0.03
2010-12-16,0.02,0.03,0.02,0.02,000,0.02
2010-12-15,0.03,0.03,0.03,0.03,46000,0.03
2010-12-14,0.03,0.03,0.03,0.03,119000,0.03
2010-12-13,0.03,0.03,0.02,0.02,469000,0.02
2010-12-10,0.03,0.03,0.03,0.03,183000,0.03
2010-12-09,0.02,0.02,0.02,0.02,3000,0.02
2010-12-08,0.03,0.03,0.03,0.03,139000,0.03
2010-12-07,0.02,0.03,0.02,0.02,000,0.02
2010-12-06,0.02,0.03,0.02,0.03,1770000,0.03
2010-12-03,0.03,0.03,0.03,0.03,000,0.03
2010-12-02,0.03,0.03,0.03,0.03,62000,0.03
2010-12-01,0.03,0.03,0.03,0.03,92000,0.03
2010-11-30,0.03,0.03,0.03,0.03,000,0.03
2010-11-29,0.03,0.03,0.03,0.03,000,0.03
2010-11-26,0.03,0.03,0.03,0.03,100000,0.03
2010-11-25,0.03,0.03,0.03,0.03,10000,0.03
2010-11-24,0.03,0.03,0.03,0.03,251000,0.03
2010-11-23,0.02,0.03,0.02,0.02,000,0.02
2010-11-22,0.03,0.03,0.03,0.03,000,0.03
2010-11-19,0.03,0.03,0.03,0.03,70000,0.03
2010-11-18,0.03,0.03,0.03,0.03,115000,0.03
2010-11-16,0.02,0.03,0.02,0.02,000,0.02
2010-11-15,0.03,0.03,0.03,0.03,889000,0.03
2010-11-12,0.03,0.03,0.03,0.03,30000,0.03
