Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.14,0.14,0.14,0.14,440000,0.14
2011-08-03,0.14,0.14,0.14,0.14,70000,0.14
2011-08-02,0.14,0.14,0.14,0.14,50000,0.14
2011-08-01,0.14,0.14,0.14,0.14,50000,0.14
2011-07-29,0.14,0.14,0.14,0.14,186000,0.14
2011-07-28,0.14,0.14,0.14,0.14,61000,0.14
2011-07-27,0.14,0.14,0.14,0.14,152000,0.14
2011-07-26,0.14,0.14,0.14,0.14,272000,0.14
2011-07-25,0.14,0.14,0.14,0.14,536000,0.14
2011-07-22,0.14,0.14,0.14,0.14,597000,0.14
2011-07-21,0.14,0.14,0.14,0.14,913000,0.14
2011-07-20,0.14,0.14,0.14,0.14,637000,0.14
2011-07-19,0.14,0.14,0.14,0.14,421000,0.14
2011-07-18,0.14,0.14,0.14,0.14,225000,0.14
2011-07-15,0.14,0.14,0.14,0.14,567000,0.14
2011-07-14,0.14,0.14,0.14,0.14,350000,0.14
2011-07-13,0.14,0.15,0.14,0.14,136000,0.14
2011-07-12,0.14,0.15,0.14,0.15,335000,0.15
2011-07-11,0.15,0.15,0.15,0.15,50000,0.15
2011-07-08,0.15,0.15,0.15,0.15,152000,0.15
2011-07-07,0.15,0.15,0.15,0.15,565000,0.15
2011-07-06,0.15,0.15,0.15,0.15,224000,0.15
2011-07-05,0.15,0.15,0.14,0.15,329000,0.15
2011-07-04,0.16,0.16,0.15,0.15,133000,0.15
2011-07-01,0.16,0.16,0.15,0.16,488000,0.16
2011-06-30,0.15,0.16,0.15,0.16,175000,0.16
2011-06-29,0.16,0.16,0.14,0.16,950000,0.16
2011-06-28,0.15,0.16,0.15,0.15,1305000,0.15
2011-06-27,0.14,0.15,0.14,0.15,115000,0.15
2011-06-24,0.14,0.15,0.14,0.15,580000,0.15
2011-06-23,0.14,0.14,0.14,0.14,570000,0.14
2011-06-22,0.14,0.14,0.14,0.14,165000,0.14
2011-06-21,0.14,0.14,0.14,0.14,240000,0.14
2011-06-20,0.14,0.15,0.14,0.15,356000,0.15
2011-06-17,0.14,0.15,0.14,0.15,139000,0.15
2011-06-16,0.14,0.15,0.14,0.15,826000,0.15
2011-06-15,0.15,0.15,0.15,0.15,250000,0.15
2011-06-14,0.15,0.16,0.14,0.15,748000,0.15
2011-06-13,0.16,0.16,0.15,0.15,219000,0.15
2011-06-10,0.16,0.16,0.15,0.16,231000,0.16
