Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,3.94,3.95,3.92,3.93,1495000,3.93
2011-08-03,3.95,3.95,3.92,3.95,2515000,3.95
2011-08-02,3.97,3.97,3.95,3.97,1991000,3.97
2011-08-01,3.95,3.97,3.95,3.97,1982000,3.97
2011-07-29,3.97,3.97,3.94,3.94,2564000,3.94
2011-07-28,3.95,3.95,3.93,3.95,928000,3.95
2011-07-27,3.93,3.96,3.93,3.96,851000,3.96
2011-07-26,3.95,3.95,3.94,3.95,1003000,3.95
2011-07-25,3.95,3.96,3.93,3.94,1286000,3.94
2011-07-22,3.95,3.96,3.94,3.96,2786000,3.96
2011-07-21,3.92,3.95,3.91,3.95,2275000,3.95
2011-07-20,3.92,3.94,3.88,3.94,1733000,3.94
2011-07-19,3.88,3.89,3.86,3.89,1026000,3.89
2011-07-18,3.86,3.88,3.85,3.88,871000,3.88
2011-07-15,3.88,3.89,3.86,3.87,897000,3.87
2011-07-14,3.89,3.90,3.86,3.88,1387000,3.88
2011-07-13,3.91,3.92,3.88,3.89,1728000,3.89
2011-07-12,3.93,3.93,3.88,3.91,3123000,3.91
2011-07-11,3.94,3.95,3.92,3.95,1511000,3.95
2011-07-08,3.94,3.96,3.93,3.96,1944000,3.96
2011-07-07,3.92,3.96,3.91,3.94,2845000,3.94
2011-07-06,3.92,3.93,3.90,3.91,1378000,3.91
2011-07-05,3.93,3.93,3.90,3.92,1134000,3.92
2011-07-04,3.92,3.94,3.90,3.92,2072000,3.92
2011-07-01,3.91,3.91,3.89,3.91,1323000,3.91
2011-06-30,3.87,3.90,3.85,3.90,6609000,3.90
2011-06-29,3.85,3.85,3.82,3.85,1145000,3.85
2011-06-28,3.83,3.85,3.82,3.84,1275000,3.84
2011-06-27,3.81,3.83,3.81,3.81,1508000,3.81
2011-06-24,3.83,3.85,3.82,3.84,1354000,3.84
2011-06-23,3.84,3.87,3.83,3.84,1481000,3.84
2011-06-22,3.85,3.86,3.82,3.83,1269000,3.83
2011-06-21,3.84,3.86,3.83,3.84,1725000,3.84
2011-06-20,3.83,3.84,3.81,3.81,1330000,3.81
2011-06-17,3.82,3.83,3.80,3.81,2774000,3.81
2011-06-16,3.82,3.84,3.81,3.82,1677000,3.82
2011-06-15,3.82,3.84,3.82,3.83,2429000,3.83
2011-06-14,3.82,3.83,3.80,3.81,1518000,3.81
2011-06-13,3.81,3.82,3.80,3.80,2059000,3.80
2011-06-10,3.82,3.83,3.80,3.80,2262000,3.80
2011-06-09,3.82,3.82,3.81,3.81,1550000,3.81
2011-06-08,3.83,3.83,3.81,3.81,2508000,3.81
2011-06-07,3.82,3.84,3.82,3.82,2857000,3.82
2011-06-06,3.84,3.85,3.82,3.83,2070000,3.83
2011-06-03,3.86,3.87,3.85,3.85,764000,3.85
2011-06-02,3.85,3.86,3.84,3.86,1374000,3.86
2011-06-01,3.87,3.88,3.86,3.86,1904000,3.86
2011-05-31,3.86,3.91,3.86,3.86,3617000,3.86
2011-05-30,3.86,3.88,3.85,3.88,1240000,3.88
2011-05-27,3.83,3.89,3.82,3.85,2781000,3.85
2011-05-26,3.84,3.84,3.82,3.83,3411000,3.83
2011-05-25,3.85,3.85,3.83,3.84,1957000,3.84
2011-05-24,3.85,3.87,3.85,3.85,1721000,3.85
2011-05-23,3.90,3.92,3.85,3.85,2697000,3.85
2011-05-20,3.93,3.94,3.91,3.93,1160000,3.93
2011-05-19,3.90,3.94,3.89,3.93,2340000,3.93
2011-05-18,3.90,3.91,3.88,3.90,1281000,3.90
2011-05-16,3.89,3.90,3.88,3.90,1187000,3.90
2011-05-13,3.87,3.91,3.86,3.91,1144000,3.91
2011-05-12,3.87,3.89,3.86,3.86,1013000,3.86
2011-05-11,3.87,3.90,3.87,3.89,1381000,3.89
2011-05-10,3.85,3.89,3.85,3.87,1196000,3.87
2011-05-09,3.86,3.90,3.85,3.87,1928000,3.87
2011-05-06,3.84,3.84,3.81,3.82,1766000,3.82
2011-05-05,3.85,3.88,3.82,3.84,2798000,3.84
2011-05-04,3.90,3.90,3.84,3.84,3574000,3.84
2011-05-03,3.93,3.93,3.88,3.89,1849000,3.89
2011-04-29,4.03,4.03,3.98,3.98,4080000,3.98
2011-04-28,4.02,4.04,3.99,4.01,2296000,4.01
2011-04-27,4.00,4.02,3.99,4.02,4465000,4.02
2011-04-26,3.99,4.01,3.97,3.99,2648000,3.99
2011-04-25,3.97,3.99,3.95,3.99,901000,3.99
2011-04-21,3.94,3.99,3.94,3.96,2280000,3.96
2011-04-20,3.93,3.96,3.92,3.96,1643000,3.96
2011-04-19,3.93,3.93,3.91,3.91,1552000,3.91
2011-04-18,3.93,3.95,3.92,3.94,2395000,3.94
2011-04-15,3.93,3.95,3.92,3.93,1968000,3.93
