Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.09,0.10,0.09,0.09,000,0.09
2011-08-03,0.09,0.09,0.09,0.09,20000,0.09
2011-08-02,0.09,0.09,0.09,0.09,54000,0.09
2011-08-01,0.09,0.09,0.09,0.09,20000,0.09
2011-07-29,0.09,0.09,0.09,0.09,000,0.09
2011-07-28,0.09,0.09,0.09,0.09,000,0.09
2011-07-27,0.09,0.09,0.09,0.09,20000,0.09
2011-07-26,0.09,0.11,0.09,0.09,000,0.09
2011-07-25,0.09,0.11,0.09,0.09,000,0.09
2011-07-22,0.09,0.09,0.09,0.09,110000,0.09
2011-07-21,0.06,0.06,0.06,0.06,000,0.06
2011-07-20,0.09,0.09,0.09,0.09,000,0.09
2011-07-19,0.09,0.10,0.09,0.09,000,0.09
2011-07-18,0.09,0.09,0.09,0.09,000,0.09
2011-07-15,0.09,0.09,0.09,0.09,66000,0.09
2011-07-14,0.09,0.09,0.09,0.09,10000,0.09
2011-07-13,0.09,0.10,0.09,0.09,000,0.09
2011-07-12,0.09,0.09,0.09,0.09,615000,0.09
2011-07-11,0.09,0.10,0.09,0.09,000,0.09
2011-07-08,0.09,0.10,0.09,0.09,000,0.09
2011-07-07,0.09,0.09,0.09,0.09,20000,0.09
2011-07-06,0.09,0.09,0.09,0.09,20000,0.09
2011-07-05,0.09,0.09,0.09,0.09,26000,0.09
2011-07-04,0.09,0.09,0.09,0.09,45000,0.09
2011-07-01,0.10,0.10,0.09,0.09,387000,0.09
2011-06-30,0.10,0.10,0.10,0.10,87000,0.10
2011-06-29,0.10,0.10,0.10,0.10,216000,0.10
2011-06-28,0.10,0.10,0.10,0.10,000,0.10
2011-06-27,0.10,0.10,0.10,0.10,000,0.10
2011-06-24,0.10,0.10,0.10,0.10,63000,0.10
2011-06-23,0.10,0.10,0.10,0.10,000,0.10
2011-06-22,0.10,0.10,0.10,0.10,3000,0.10
2011-06-21,0.10,0.10,0.10,0.10,6000,0.10
2011-06-20,0.10,0.10,0.10,0.10,200000,0.10
2011-06-17,0.10,0.10,0.10,0.10,84000,0.10
2011-06-16,0.10,0.10,0.10,0.10,20000,0.10
2011-06-15,0.11,0.11,0.11,0.11,60000,0.11
2011-06-14,0.12,0.12,0.11,0.11,64000,0.11
2011-06-13,0.10,0.10,0.10,0.10,32000,0.10
2011-06-10,0.11,0.11,0.11,0.11,40000,0.11
2011-06-09,0.12,0.12,0.12,0.12,450000,0.12
2011-06-08,0.11,0.13,0.11,0.11,000,0.11
2011-06-07,0.11,0.12,0.11,0.11,000,0.11
2011-06-06,0.11,0.12,0.11,0.11,000,0.11
2011-06-03,0.11,0.11,0.11,0.11,155000,0.11
2011-06-02,0.11,0.12,0.11,0.11,000,0.11
2011-06-01,0.12,0.12,0.12,0.12,200000,0.12
2011-05-31,0.12,0.12,0.11,0.11,105000,0.11
2011-05-30,0.11,0.11,0.11,0.11,240000,0.11
2011-05-27,0.10,0.11,0.10,0.11,90000,0.11
2011-05-26,0.10,0.11,0.10,0.10,000,0.10
2011-05-25,0.10,0.12,0.10,0.10,000,0.10
2011-05-24,0.11,0.11,0.11,0.11,597000,0.11
2011-05-23,0.11,0.11,0.10,0.11,1003000,0.11
2011-05-20,0.11,0.11,0.11,0.11,180000,0.11
2011-05-19,0.11,0.11,0.11,0.11,200000,0.11
2011-05-18,0.12,0.12,0.12,0.12,160000,0.12
2011-05-16,0.12,0.12,0.12,0.12,55000,0.12
2011-05-13,0.12,0.12,0.12,0.12,515000,0.12
2011-05-12,0.12,0.12,0.12,0.12,525000,0.12
2011-05-11,0.12,0.12,0.12,0.12,30000,0.12
2011-05-10,0.12,0.12,0.12,0.12,80000,0.12
2011-05-09,0.12,0.12,0.12,0.12,12000,0.12
2011-05-06,0.12,0.12,0.12,0.12,000,0.12
2011-05-05,0.12,0.12,0.12,0.12,10000,0.12
2011-05-04,0.12,0.12,0.12,0.12,151000,0.12
2011-05-03,0.12,0.12,0.12,0.12,194000,0.12
2011-04-29,0.12,0.12,0.12,0.12,153000,0.12
2011-04-28,0.12,0.12,0.12,0.12,190000,0.12
2011-04-27,0.12,0.12,0.12,0.12,270000,0.12
2011-04-26,0.11,0.11,0.11,0.11,10000,0.11
2011-04-25,0.11,0.11,0.11,0.11,40000,0.11
2011-04-21,0.11,0.11,0.11,0.11,90000,0.11
2011-04-20,0.11,0.12,0.11,0.11,1790000,0.11
2011-04-19,0.11,0.11,0.11,0.11,560000,0.11
2011-04-18,0.11,0.11,0.11,0.11,4000,0.11
2011-04-15,0.12,0.12,0.11,0.11,1260000,0.11
2011-04-14,0.12,0.12,0.11,0.11,420000,0.11
2011-04-13,0.12,0.12,0.11,0.11,65000,0.11
2011-04-12,0.12,0.12,0.12,0.12,1120000,0.12
2011-04-11,0.12,0.12,0.12,0.12,1092000,0.12
2011-04-08,0.11,0.12,0.11,0.11,000,0.11
2011-04-07,0.12,0.12,0.12,0.12,20000,0.12
2011-04-06,0.11,0.12,0.11,0.11,000,0.11
2011-04-05,0.11,0.12,0.11,0.11,000,0.11
2011-04-04,0.12,0.12,0.12,0.12,70000,0.12
2011-04-01,0.11,0.12,0.11,0.11,000,0.11
2011-03-31,0.12,0.12,0.12,0.12,000,0.12
2011-03-30,0.12,0.12,0.12,0.12,70000,0.12
