Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.42,0.42,0.41,0.41,114000,0.41
2011-08-03,0.42,0.42,0.42,0.42,60000,0.42
2011-08-02,0.42,0.43,0.42,0.42,000,0.42
2011-08-01,0.43,0.43,0.43,0.43,17000,0.43
2011-07-29,0.43,0.43,0.43,0.43,55000,0.43
2011-07-28,0.43,0.43,0.43,0.43,000,0.43
2011-07-27,0.43,0.43,0.43,0.43,12000,0.43
2011-07-26,0.43,0.43,0.43,0.43,10000,0.43
2011-07-25,0.43,0.43,0.43,0.43,20000,0.43
2011-07-22,0.44,0.44,0.43,0.43,115000,0.43
2011-07-21,0.43,0.43,0.43,0.43,162000,0.43
2011-07-20,0.42,0.43,0.42,0.43,23000,0.43
2011-07-19,0.42,0.42,0.42,0.42,37000,0.42
2011-07-18,0.42,0.42,0.42,0.42,26000,0.42
2011-07-15,0.41,0.41,0.41,0.41,15000,0.41
2011-07-14,0.42,0.43,0.42,0.42,000,0.42
2011-07-13,0.41,0.41,0.41,0.41,510000,0.41
2011-07-12,0.41,0.41,0.40,0.40,70000,0.40
2011-07-11,0.42,0.43,0.42,0.42,000,0.42
2011-07-08,0.42,0.43,0.42,0.42,000,0.42
2011-07-07,0.41,0.43,0.41,0.41,000,0.41
2011-07-06,0.42,0.43,0.42,0.42,000,0.42
2011-07-05,0.43,0.43,0.42,0.42,19000,0.42
2011-07-04,0.41,0.43,0.41,0.41,000,0.41
2011-07-01,0.41,0.43,0.41,0.41,000,0.41
2011-06-30,0.41,0.42,0.41,0.41,000,0.41
2011-06-29,0.41,0.43,0.41,0.41,000,0.41
2011-06-28,0.41,0.41,0.41,0.41,120000,0.41
2011-06-27,0.42,0.42,0.41,0.41,50000,0.41
2011-06-24,0.41,0.41,0.41,0.41,4000,0.41
2011-06-23,0.41,0.43,0.41,0.41,000,0.41
2011-06-22,0.43,0.43,0.43,0.43,97000,0.43
2011-06-21,0.44,0.44,0.44,0.44,252000,0.44
2011-06-20,0.44,0.44,0.44,0.44,205000,0.44
2011-06-17,0.44,0.44,0.44,0.44,500000,0.44
2011-06-16,0.44,0.44,0.44,0.44,864000,0.44
2011-06-15,0.44,0.44,0.44,0.44,231000,0.44
2011-06-14,0.44,0.44,0.44,0.44,222000,0.44
2011-06-13,0.44,0.46,0.44,0.44,000,0.44
2011-06-10,0.44,0.44,0.44,0.44,85000,0.44
2011-06-09,0.44,0.45,0.44,0.44,000,0.44
2011-06-08,0.44,0.46,0.44,0.44,000,0.44
2011-06-07,0.44,0.44,0.44,0.44,18000,0.44
2011-06-06,0.44,0.46,0.44,0.44,000,0.44
2011-06-03,0.44,0.45,0.44,0.45,118000,0.45
2011-06-02,0.44,0.46,0.44,0.44,296000,0.44
2011-06-01,0.43,0.45,0.43,0.43,000,0.43
2011-05-31,0.44,0.45,0.44,0.44,000,0.44
2011-05-30,0.44,0.47,0.44,0.44,000,0.44
2011-05-27,0.44,0.46,0.44,0.44,000,0.44
2011-05-26,0.44,0.44,0.43,0.44,44000,0.44
2011-05-25,0.43,0.44,0.43,0.44,112000,0.44
2011-05-24,0.43,0.44,0.43,0.44,17000,0.44
2011-05-23,0.43,0.44,0.43,0.43,000,0.43
2011-05-20,0.43,0.44,0.43,0.43,000,0.43
2011-05-19,0.44,0.44,0.42,0.42,105000,0.42
2011-05-18,0.44,0.45,0.44,0.45,48000,0.45
2011-05-16,0.44,0.44,0.44,0.44,12000,0.44
2011-05-13,0.44,0.44,0.44,0.44,70000,0.44
2011-05-12,0.44,0.44,0.43,0.44,210000,0.44
2011-05-11,0.46,0.46,0.45,0.45,169000,0.45
2011-05-10,0.46,0.46,0.46,0.46,5000,0.46
2011-05-09,0.47,0.47,0.47,0.47,12000,0.47
2011-05-06,0.46,0.46,0.46,0.46,50000,0.46
2011-05-05,0.47,0.47,0.47,0.47,000,0.47
2011-05-04,0.47,0.47,0.47,0.47,61000,0.47
2011-05-03,0.47,0.48,0.47,0.48,58000,0.48
2011-04-29,0.47,0.48,0.47,0.47,000,0.47
2011-04-28,0.49,0.49,0.47,0.47,281000,0.47
2011-04-27,0.50,0.50,0.48,0.48,35000,0.48
2011-04-26,0.49,0.49,0.49,0.49,50000,0.49
2011-04-25,0.50,0.50,0.49,0.49,463000,0.49
2011-04-21,0.49,0.49,0.49,0.49,4000,0.49
