Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.12,0.12,0.12,0.12,505000,0.12
2011-08-03,0.12,0.12,0.12,0.12,66000,0.12
2011-08-02,0.13,0.13,0.13,0.13,292000,0.13
2011-08-01,0.13,0.13,0.13,0.13,260000,0.13
2011-07-29,0.13,0.13,0.13,0.13,333000,0.13
2011-07-28,0.13,0.13,0.13,0.13,102000,0.13
2011-07-27,0.13,0.13,0.13,0.13,10000,0.13
2011-07-26,0.13,0.13,0.13,0.13,419000,0.13
2011-07-25,0.13,0.13,0.13,0.13,13000,0.13
2011-07-22,0.13,0.13,0.13,0.13,73000,0.13
2011-07-21,0.13,0.13,0.13,0.13,192000,0.13
2011-07-20,0.13,0.13,0.13,0.13,12000,0.13
2011-07-19,0.13,0.13,0.13,0.13,92000,0.13
2011-07-18,0.13,0.13,0.13,0.13,495000,0.13
2011-07-15,0.13,0.13,0.13,0.13,230000,0.13
2011-07-14,0.13,0.13,0.13,0.13,311000,0.13
2011-07-13,0.13,0.13,0.13,0.13,240000,0.13
2011-07-12,0.13,0.13,0.13,0.13,91000,0.13
2011-07-11,0.13,0.14,0.13,0.14,171000,0.14
2011-07-08,0.13,0.14,0.13,0.14,1036000,0.14
2011-07-07,0.13,0.14,0.13,0.13,92000,0.13
2011-07-06,0.13,0.14,0.13,0.13,175000,0.13
2011-07-05,0.14,0.14,0.14,0.14,90000,0.14
2011-07-04,0.14,0.14,0.14,0.14,400000,0.14
2011-07-01,0.14,0.15,0.14,0.14,7465000,0.14
2011-06-30,0.13,0.14,0.13,0.14,580000,0.14
2011-06-29,0.13,0.13,0.12,0.12,130000,0.12
2011-06-28,0.12,0.12,0.12,0.12,15000,0.12
2011-06-27,0.12,0.12,0.12,0.12,76000,0.12
2011-06-24,0.12,0.13,0.12,0.13,66000,0.13
2011-06-23,0.13,0.13,0.13,0.13,60000,0.13
2011-06-22,0.12,0.12,0.12,0.12,100000,0.12
2011-06-21,0.12,0.12,0.12,0.12,205000,0.12
2011-06-20,0.12,0.12,0.12,0.12,348000,0.12
2011-06-17,0.12,0.13,0.12,0.12,539000,0.12
2011-06-16,0.12,0.12,0.12,0.12,119000,0.12
2011-06-15,0.12,0.12,0.12,0.12,395000,0.12
2011-06-14,0.13,0.13,0.12,0.13,74000,0.13
2011-06-13,0.12,0.12,0.12,0.12,413000,0.12
2011-06-10,0.13,0.13,0.12,0.12,423000,0.12
2011-06-09,0.13,0.14,0.13,0.13,825000,0.13
2011-06-08,0.13,0.13,0.13,0.13,511000,0.13
2011-06-07,0.13,0.13,0.13,0.13,20000,0.13
2011-06-06,0.14,0.14,0.13,0.13,118000,0.13
2011-06-03,0.14,0.14,0.14,0.14,849000,0.14
2011-06-02,0.14,0.14,0.13,0.13,120000,0.13
2011-06-01,0.14,0.14,0.13,0.14,420000,0.14
2011-05-31,0.14,0.14,0.13,0.13,156000,0.13
2011-05-30,0.14,0.14,0.14,0.14,426000,0.14
2011-05-27,0.14,0.14,0.14,0.14,307000,0.14
2011-05-26,0.14,0.14,0.13,0.13,796000,0.13
2011-05-25,0.14,0.14,0.14,0.14,664000,0.14
2011-05-24,0.14,0.14,0.14,0.14,260000,0.14
2011-05-23,0.14,0.14,0.14,0.14,1038000,0.14
2011-05-20,0.14,0.14,0.14,0.14,2023000,0.14
2011-05-19,0.14,0.14,0.14,0.14,3797000,0.14
2011-05-18,0.15,0.15,0.14,0.15,1000000,0.15
2011-05-16,0.14,0.14,0.14,0.14,576000,0.14
2011-05-13,0.14,0.16,0.14,0.16,950000,0.16
2011-05-12,0.15,0.15,0.14,0.14,1402000,0.14
2011-05-11,0.16,0.17,0.15,0.15,26706000,0.15
2011-05-10,0.13,0.16,0.13,0.16,16332000,0.16
2011-05-09,0.14,0.14,0.13,0.14,261000,0.14
2011-05-06,0.14,0.14,0.13,0.13,430000,0.13
2011-05-05,0.13,0.14,0.13,0.14,302000,0.14
2011-05-04,0.14,0.14,0.14,0.14,335000,0.14
2011-05-03,0.14,0.14,0.13,0.14,1270000,0.14
2011-04-29,0.14,0.14,0.14,0.14,625000,0.14
2011-04-28,0.14,0.14,0.14,0.14,311000,0.14
2011-04-27,0.14,0.14,0.14,0.14,365000,0.14
2011-04-26,0.14,0.14,0.14,0.14,999000,0.14
2011-04-25,0.14,0.14,0.14,0.14,1951000,0.14
2011-04-21,0.14,0.14,0.14,0.14,2409000,0.14
2011-04-20,0.15,0.15,0.14,0.15,279000,0.15
2011-04-19,0.14,0.14,0.14,0.14,305000,0.14
2011-04-18,0.16,0.16,0.15,0.15,1283000,0.15
2011-04-15,0.15,0.16,0.15,0.16,12041000,0.16
2011-04-14,0.15,0.15,0.14,0.14,520000,0.14
2011-04-13,0.15,0.16,0.15,0.15,5757000,0.15
2011-04-12,0.14,0.14,0.14,0.14,1853000,0.14
2011-04-11,0.14,0.14,0.14,0.14,996000,0.14
2011-04-08,0.14,0.15,0.14,0.15,670000,0.15
2011-04-07,0.14,0.14,0.14,0.14,1194000,0.14
2011-04-06,0.14,0.14,0.14,0.14,1034000,0.14
2011-04-05,0.14,0.14,0.14,0.14,355000,0.14
2011-04-04,0.14,0.14,0.14,0.14,1655000,0.14
2011-04-01,0.14,0.14,0.14,0.14,105000,0.14
2011-03-31,0.14,0.14,0.14,0.14,145000,0.14
2011-03-30,0.14,0.14,0.14,0.14,999000,0.14
2011-03-29,0.14,0.14,0.14,0.14,371000,0.14
