Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,20.33,20.46,19.88,19.90,2805000,19.90
2011-08-03,20.43,20.50,20.04,20.23,3614000,20.23
2011-08-02,20.88,20.94,20.80,20.85,2038000,20.85
2011-08-01,20.50,21.00,20.50,20.90,3856000,20.90
2011-07-29,20.40,20.59,20.30,20.45,3423000,20.45
2011-07-28,20.50,20.52,20.36,20.40,1741000,20.40
2011-07-27,20.50,20.62,20.45,20.61,2772000,20.61
2011-07-26,20.25,20.50,20.24,20.50,3432000,20.50
2011-07-25,20.00,20.25,19.98,20.25,2600000,20.25
2011-07-22,20.09,20.17,20.04,20.16,3630000,20.16
2011-07-21,19.90,20.00,19.80,19.99,3222000,19.99
2011-07-20,19.70,19.90,19.70,19.86,2549000,19.86
2011-07-19,19.63,19.70,19.57,19.68,1609000,19.68
2011-07-18,19.59,19.80,19.50,19.60,2333000,19.60
2011-07-15,19.53,19.66,19.43,19.62,1358000,19.62
2011-07-14,19.42,19.55,19.36,19.52,1185000,19.52
2011-07-13,19.36,19.65,19.28,19.50,1735000,19.50
2011-07-12,19.50,19.50,19.11,19.28,3102000,19.28
2011-07-11,19.68,19.70,19.51,19.56,1054000,19.56
2011-07-08,19.68,19.82,19.60,19.68,1162000,19.68
2011-07-07,19.50,19.64,19.44,19.59,2030000,19.59
2011-07-06,19.87,19.87,19.46,19.48,2485000,19.48
2011-07-05,19.90,19.91,19.77,19.91,2787000,19.91
2011-07-04,19.90,19.92,19.78,19.85,1984000,19.85
2011-07-01,19.74,19.86,19.70,19.86,4062000,19.86
2011-06-30,19.60,19.68,19.52,19.68,10338000,19.68
2011-06-29,19.24,19.50,19.10,19.44,3125000,19.44
2011-06-28,19.06,19.16,18.98,19.04,2939000,19.04
2011-06-27,18.94,19.14,18.94,19.00,2442000,19.00
2011-06-24,19.30,19.30,18.94,19.14,2926000,19.14
2011-06-23,19.32,19.44,19.12,19.32,2527000,19.32
2011-06-22,19.24,19.36,19.18,19.26,2953000,19.26
2011-06-21,19.00,19.30,18.94,19.20,3035000,19.20
2011-06-20,18.78,18.96,18.76,18.90,3247000,18.90
2011-06-17,18.72,18.92,18.66,18.78,3264000,18.78
2011-06-16,18.94,18.94,18.60,18.66,2127000,18.66
2011-06-15,19.04,19.10,18.94,18.96,1397000,18.96
2011-06-14,19.04,19.16,18.92,18.94,1917000,18.94
2011-06-13,19.00,19.08,18.94,18.94,3120000,18.94
2011-06-10,19.24,19.32,19.02,19.02,2015000,19.02
2011-06-09,19.16,19.24,19.12,19.14,1517000,19.14
2011-06-08,19.06,19.18,19.04,19.18,2131000,19.18
2011-06-07,19.14,19.24,19.04,19.20,2011000,19.20
2011-06-06,19.34,19.40,19.14,19.20,1756000,19.20
2011-06-03,19.40,19.48,19.30,19.48,1898000,19.48
2011-06-02,19.10,19.40,19.10,19.38,755000,19.38
2011-06-01,19.44,19.52,19.00,19.40,2536000,19.40
2011-05-31,19.34,19.56,19.30,19.44,3388000,19.44
2011-05-30,19.60,19.60,19.28,19.28,1485000,19.28
2011-05-27,19.34,19.58,19.26,19.46,2253000,19.46
2011-05-26,19.14,19.28,19.08,19.26,1037000,19.26
2011-05-25,19.12,19.16,19.02,19.08,2080000,19.08
2011-05-24,19.04,19.26,19.04,19.12,1375000,19.12
2011-05-23,19.16,19.22,19.04,19.04,2038000,19.04
2011-05-20,19.58,19.66,19.42,19.44,914000,19.44
2011-05-19,19.62,19.70,19.54,19.66,3058000,19.66
2011-05-18,19.30,19.50,19.30,19.50,2439000,19.50
2011-05-16,19.32,19.36,19.10,19.24,1341000,19.24
2011-05-13,19.20,19.50,19.10,19.50,1323000,19.50
2011-05-12,19.40,19.40,19.02,19.02,1603000,19.02
2011-05-11,19.48,19.58,19.42,19.56,3206000,19.56
2011-05-10,19.08,19.40,18.96,19.38,1997000,19.38
2011-05-09,18.88,19.20,18.88,18.98,2212000,18.98
2011-05-06,19.06,19.06,18.80,18.80,3061000,18.80
2011-05-05,19.06,19.12,19.00,19.10,3765000,19.10
2011-05-04,19.52,19.60,19.34,19.44,3574000,19.44
2011-05-03,19.62,19.68,19.54,19.58,1836000,19.58
2011-04-29,19.92,19.92,19.58,19.62,4181000,19.62
2011-04-28,19.96,20.00,19.76,19.96,3393000,19.96
2011-04-27,19.98,20.02,19.68,19.80,3369000,19.80
2011-04-26,19.80,19.88,19.70,19.88,1408000,19.88
2011-04-25,19.94,19.94,19.84,19.92,844000,19.92
2011-04-21,19.60,19.92,19.60,19.92,4125000,19.92
2011-04-20,19.64,19.66,19.40,19.66,2213000,19.66
2011-04-19,19.48,19.48,19.28,19.38,2135000,19.38
2011-04-18,19.58,19.68,19.34,19.56,1692000,19.56
2011-04-15,19.76,19.76,19.50,19.58,1641000,19.58
2011-04-14,19.40,19.70,19.40,19.64,1245000,19.64
2011-04-13,19.50,19.64,19.32,19.60,1852000,19.60
2011-04-12,19.28,19.46,19.20,19.40,2200000,19.40
2011-04-11,19.40,19.46,19.32,19.38,2167000,19.38
2011-04-08,19.56,19.56,19.38,19.52,3720000,19.52
2011-04-07,19.18,19.64,19.12,19.62,7236000,19.62
2011-04-06,18.88,19.10,18.86,19.10,2458000,19.10
2011-04-05,18.84,19.04,18.84,18.94,1171000,18.94
2011-04-04,19.00,19.10,18.88,19.02,3406000,19.02
2011-04-01,18.80,19.00,18.76,18.98,2409000,18.98
2011-03-31,18.92,19.00,18.68,18.80,5457000,18.80
2011-03-30,18.58,19.04,18.58,18.82,4329000,18.82
2011-03-29,18.62,18.62,18.42,18.54,1402000,18.54
2011-03-28,18.48,18.68,18.44,18.52,1002000,18.52
2011-03-25,18.58,18.76,18.54,18.58,2010000,18.58
2011-03-24,18.28,18.58,18.22,18.54,1197000,18.54
2011-03-23,18.30,18.40,18.28,18.32,1970000,18.32
2011-03-22,18.20,18.32,18.18,18.32,1666000,18.32
2011-03-21,18.24,18.34,18.20,18.28,802000,18.28
2011-03-18,18.28,18.28,18.06,18.12,2070000,18.12
2011-03-17,18.18,18.22,18.10,18.12,995000,18.12
2011-03-16,18.26,18.42,18.18,18.22,3944000,18.22
2011-03-15,18.46,18.48,18.10,18.26,3834000,18.26
2011-03-14,18.80,18.80,18.56,18.60,994000,18.60
2011-03-11,18.76,18.88,18.62,18.74,2451000,18.74
2011-03-10,18.88,18.92,18.72,18.84,1713000,18.84
2011-03-09,18.98,18.98,18.72,18.78,2444000,18.78
2011-03-08,18.70,18.96,18.56,18.96,1373000,18.96
2011-03-07,18.48,18.86,18.42,18.60,1512000,18.60
2011-03-04,18.40,18.76,18.38,18.50,2569000,18.50
2011-03-03,18.36,18.48,18.24,18.24,2269000,18.24
2011-03-02,18.30,18.42,18.24,18.36,1965000,18.36
2011-03-01,18.24,18.44,18.16,18.40,2033000,18.40
2011-02-28,18.02,18.30,18.00,18.06,7638000,18.06
2011-02-25,18.00,18.54,18.00,18.24,2968000,18.24
2011-02-24,18.22,18.32,18.00,18.00,2966000,18.00
2011-02-23,18.22,18.36,18.16,18.32,2479000,18.32
2011-02-22,18.26,18.30,18.16,18.22,1847000,18.22
2011-02-21,18.62,18.64,18.38,18.44,2757000,18.44
2011-02-18,18.72,18.88,18.72,18.80,1976000,18.80
2011-02-17,18.66,18.90,18.66,18.72,1727000,18.72
2011-02-16,18.76,18.88,18.60,18.86,2531000,18.86
2011-02-15,18.98,18.98,18.62,18.90,1790000,18.90
2011-02-14,18.68,18.98,18.64,18.92,2977000,18.92
2011-02-11,18.86,18.90,18.60,18.60,3827000,18.60
2011-02-10,19.10,19.20,18.74,18.82,4488000,18.82
2011-02-09,19.46,19.52,19.14,19.24,3379000,19.24
2011-02-08,19.80,19.80,19.40,19.58,2225000,19.58
2011-02-07,19.94,19.96,19.60,19.70,2483000,19.70
2011-02-02,19.96,19.96,19.80,19.90,1399000,19.90
2011-02-01,19.90,19.92,19.78,19.90,2179000,19.90
2011-01-31,19.88,19.90,19.76,19.80,4754000,19.80
2011-01-28,19.88,19.98,19.84,19.98,2387000,19.98
2011-01-27,19.86,19.96,19.80,19.86,2987000,19.86
2011-01-26,19.50,19.90,19.46,19.86,4105000,19.86
2011-01-25,19.56,19.56,19.42,19.48,2391000,19.48
2011-01-24,19.40,19.50,19.34,19.46,2696000,19.46
2011-01-21,19.40,19.40,19.20,19.30,1972000,19.30
2011-01-20,19.34,19.44,19.26,19.34,2297000,19.34
2011-01-19,19.34,19.48,19.32,19.48,1884000,19.48
2011-01-18,19.20,19.38,19.18,19.38,2157000,19.38
2011-01-17,19.26,19.28,19.06,19.26,1175000,19.26
2011-01-14,19.10,19.16,18.88,19.16,2145000,19.16
2011-01-13,19.24,19.28,19.14,19.22,1119000,19.22
2011-01-12,19.16,19.32,19.14,19.18,1729000,19.18
2011-01-11,19.24,19.24,19.06,19.16,2087000,19.16
2011-01-10,19.42,19.42,19.22,19.26,2726000,19.26
2011-01-07,19.24,19.44,19.10,19.44,5784000,19.44
2011-01-06,18.86,19.38,18.84,19.24,6386000,19.24
2011-01-05,18.80,18.84,18.72,18.84,3932000,18.84
2011-01-04,18.66,18.76,18.66,18.76,3061000,18.76
2011-01-03,18.30,18.58,18.30,18.56,2363000,18.56
2010-12-31,18.48,18.48,18.14,18.20,1953000,18.20
2010-12-30,18.34,18.50,18.30,18.44,2211000,18.44
2010-12-29,18.24,18.38,18.14,18.26,1980000,18.26
2010-12-28,17.94,18.10,17.90,18.10,1022000,18.10
2010-12-27,17.90,18.00,17.88,17.88,721000,17.88
2010-12-24,17.86,17.88,17.84,17.88,344000,17.88
2010-12-23,17.90,17.94,17.82,17.82,941000,17.82
2010-12-22,17.94,17.96,17.86,17.88,1484000,17.88
2010-12-21,17.82,17.96,17.82,17.86,1842000,17.86
2010-12-20,18.00,18.10,17.80,17.80,2073000,17.80
2010-12-17,17.86,18.08,17.80,17.98,2227000,17.98
2010-12-16,17.80,17.94,17.80,17.86,2704000,17.86
2010-12-15,17.90,18.08,17.80,17.80,4606000,17.80
2010-12-14,18.02,18.06,17.98,18.00,3193000,18.00
2010-12-13,18.00,18.22,18.00,18.08,1378000,18.08
2010-12-10,18.16,18.16,18.06,18.14,1405000,18.14
2010-12-09,18.26,18.30,18.10,18.16,1616000,18.16
2010-12-08,18.08,18.20,18.06,18.20,1561000,18.20
2010-12-07,18.02,18.10,17.96,18.10,3295000,18.10
2010-12-06,18.30,18.30,18.10,18.10,3585000,18.10
2010-12-03,18.50,18.50,18.22,18.22,2600000,18.22
2010-12-02,18.40,18.56,18.38,18.50,3006000,18.50
2010-12-01,18.50,18.50,18.26,18.50,1355000,18.50
2010-11-30,18.54,18.56,18.38,18.50,5897000,18.50
2010-11-29,18.48,18.54,18.44,18.50,2027000,18.50
2010-11-26,18.36,18.50,18.32,18.48,1997000,18.48
2010-11-25,18.20,18.36,18.16,18.36,2637000,18.36
2010-11-24,18.20,18.34,18.08,18.10,2211000,18.10
2010-11-23,18.26,18.42,18.20,18.20,3107000,18.20
2010-11-22,18.32,18.40,18.26,18.26,2278000,18.26
2010-11-19,18.36,18.46,18.32,18.32,3383000,18.32
2010-11-18,18.40,18.52,18.36,18.52,2825000,18.52
2010-11-16,18.48,18.48,18.30,18.30,2589000,18.30
2010-11-15,18.48,18.50,18.36,18.48,1591000,18.48
2010-11-12,18.54,18.54,18.40,18.42,2077000,18.42
2010-11-11,18.40,18.60,18.40,18.50,2905000,18.50
2010-11-10,18.52,18.62,18.42,18.44,1948000,18.44
