Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,3.42,3.59,3.42,3.42,000,3.42
2011-08-03,3.45,3.49,3.45,3.49,4000,3.49
2011-08-02,3.47,3.49,3.46,3.49,15000,3.49
2011-08-01,3.41,3.50,3.41,3.41,000,3.41
2011-07-29,3.40,3.50,3.40,3.40,000,3.40
2011-07-28,3.40,3.55,3.40,3.40,000,3.40
2011-07-27,3.45,3.45,3.45,3.45,23000,3.45
2011-07-26,3.42,3.42,3.42,3.42,2000,3.42
2011-07-25,3.42,3.52,3.42,3.42,000,3.42
2011-07-22,3.41,3.50,3.41,3.41,000,3.41
2011-07-21,3.42,3.50,3.42,3.42,000,3.42
2011-07-20,3.42,3.48,3.42,3.42,000,3.42
2011-07-19,3.39,3.47,3.39,3.39,000,3.39
2011-07-18,3.33,3.50,3.33,3.33,000,3.33
2011-07-15,3.39,3.47,3.39,3.39,000,3.39
2011-07-14,3.37,3.48,3.37,3.37,000,3.37
2011-07-13,3.40,3.42,3.40,3.40,000,3.40
2011-07-12,3.40,3.42,3.40,3.40,000,3.40
2011-07-11,3.41,3.41,3.41,3.41,3000,3.41
2011-07-08,3.41,3.42,3.41,3.42,10000,3.42
2011-07-07,3.42,3.42,3.42,3.42,1000,3.42
2011-07-06,3.42,3.42,3.42,3.42,5000,3.42
2011-07-05,3.40,3.50,3.40,3.40,000,3.40
2011-07-04,3.40,3.42,3.40,3.40,000,3.40
2011-07-01,3.40,3.40,3.40,3.40,8000,3.40
2011-06-30,3.40,3.40,3.40,3.40,5000,3.40
2011-06-29,3.38,3.45,3.38,3.38,000,3.38
2011-06-28,3.40,3.40,3.40,3.40,4000,3.40
2011-06-27,3.40,3.42,3.40,3.40,9000,3.40
2011-06-24,3.38,3.50,3.38,3.38,000,3.38
2011-06-23,3.38,3.42,3.38,3.38,000,3.38
2011-06-22,3.40,3.40,3.40,3.40,2000,3.40
2011-06-21,3.30,3.50,3.30,3.30,000,3.30
2011-06-20,3.30,3.50,3.30,3.30,000,3.30
2011-06-17,3.32,3.50,3.32,3.32,000,3.32
2011-06-16,3.40,3.40,3.40,3.40,6000,3.40
2011-06-15,3.40,3.40,3.40,3.40,2000,3.40
2011-06-14,3.40,3.40,3.40,3.40,3000,3.40
2011-06-13,3.38,3.40,3.38,3.40,11000,3.40
2011-06-10,3.40,3.40,3.40,3.40,23000,3.40
2011-06-09,3.36,3.50,3.36,3.36,000,3.36
2011-06-08,3.40,3.40,3.40,3.40,2000,3.40
2011-06-07,3.40,3.55,3.40,3.40,000,3.40
2011-06-06,3.35,3.54,3.35,3.35,000,3.35
2011-06-03,3.35,3.50,3.35,3.35,000,3.35
2011-06-02,3.35,3.55,3.35,3.35,000,3.35
2011-06-01,3.38,3.50,3.38,3.38,000,3.38
2011-05-31,3.45,3.45,3.45,3.45,2000,3.45
2011-05-30,3.40,3.50,3.40,3.40,000,3.40
2011-05-27,3.36,3.45,3.36,3.36,000,3.36
2011-05-26,3.40,3.40,3.40,3.40,3000,3.40
2011-05-25,3.35,3.42,3.35,3.35,000,3.35
2011-05-24,3.40,3.50,3.40,3.40,000,3.40
2011-05-23,3.35,3.50,3.35,3.35,000,3.35
2011-05-20,3.36,3.50,3.36,3.36,000,3.36
2011-05-19,3.33,3.50,3.33,3.33,000,3.33
2011-05-18,3.40,3.40,3.40,3.40,5000,3.40
2011-05-16,3.30,3.50,3.30,3.30,000,3.30
2011-05-13,3.39,3.50,3.39,3.39,000,3.39
2011-05-12,3.36,3.49,3.36,3.36,000,3.36
2011-05-11,3.50,3.50,3.40,3.40,3000,3.40
2011-05-10,3.10,3.65,3.10,3.10,000,3.10
2011-05-09,2.56,3.65,2.56,2.56,000,2.56
2011-05-06,3.37,3.60,3.37,3.37,000,3.37
2011-05-05,3.55,3.55,3.55,3.55,10000,3.55
2011-05-04,3.46,3.65,3.46,3.46,000,3.46
2011-05-03,3.51,3.64,3.51,3.51,000,3.51
2011-04-29,3.51,3.63,3.51,3.51,000,3.51
2011-04-28,3.56,3.56,3.55,3.55,2000,3.55
2011-04-27,3.45,3.65,3.45,3.45,000,3.45
2011-04-26,3.30,3.70,3.30,3.30,000,3.30
2011-04-25,3.52,3.72,3.52,3.52,000,3.52
2011-04-21,3.52,3.71,3.52,3.52,000,3.52
2011-04-20,3.54,3.70,3.54,3.54,000,3.54
2011-04-19,3.52,3.72,3.52,3.52,000,3.52
2011-04-18,3.54,3.70,3.54,3.54,000,3.54
2011-04-15,3.54,3.70,3.54,3.54,000,3.54
2011-04-14,3.55,3.62,3.55,3.55,000,3.55
2011-04-13,3.60,3.62,3.60,3.62,4000,3.62
