Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.38,0.38,0.36,0.37,3799000,0.37
2011-08-03,0.37,0.38,0.37,0.37,6330000,0.37
2011-08-02,0.39,0.39,0.38,0.38,4125000,0.38
2011-08-01,0.38,0.41,0.38,0.40,23615000,0.40
2011-07-29,0.35,0.35,0.34,0.35,2984000,0.35
2011-07-28,0.34,0.34,0.34,0.34,2879000,0.34
2011-07-27,0.34,0.34,0.34,0.34,2344000,0.34
2011-07-26,0.34,0.34,0.34,0.34,2063000,0.34
2011-07-25,0.34,0.35,0.34,0.34,9875000,0.34
2011-07-22,0.36,0.36,0.34,0.34,6858000,0.34
2011-07-21,0.33,0.36,0.33,0.35,24733000,0.35
2011-07-20,0.32,0.34,0.32,0.33,457000,0.33
2011-07-19,0.32,0.32,0.32,0.32,499000,0.32
2011-07-18,0.33,0.33,0.31,0.32,1260000,0.32
2011-07-15,0.33,0.34,0.33,0.33,670000,0.33
2011-07-14,0.34,0.34,0.32,0.33,1047000,0.33
2011-07-13,0.34,0.35,0.34,0.34,4738000,0.34
2011-07-12,0.32,0.34,0.32,0.34,3451000,0.34
2011-07-11,0.33,0.33,0.32,0.32,1179000,0.32
2011-07-08,0.32,0.33,0.32,0.32,4132000,0.32
2011-07-07,0.31,0.32,0.31,0.32,2475000,0.32
2011-07-06,0.31,0.32,0.31,0.31,2525000,0.31
2011-07-05,0.31,0.32,0.31,0.31,2542000,0.31
2011-07-04,0.32,0.32,0.31,0.31,1912000,0.31
2011-07-01,0.32,0.32,0.31,0.31,707000,0.31
2011-06-30,0.32,0.33,0.32,0.32,8475000,0.32
2011-06-29,0.33,0.34,0.31,0.32,4527000,0.32
2011-06-28,0.34,0.34,0.33,0.33,1572000,0.33
2011-06-27,0.31,0.34,0.31,0.34,4185000,0.34
2011-06-24,0.31,0.32,0.31,0.32,1736000,0.32
2011-06-23,0.31,0.31,0.31,0.31,857000,0.31
2011-06-22,0.32,0.32,0.31,0.31,852000,0.31
2011-06-21,0.31,0.31,0.31,0.31,875000,0.31
2011-06-20,0.31,0.31,0.30,0.30,242000,0.30
2011-06-17,0.30,0.31,0.30,0.31,362000,0.31
2011-06-16,0.31,0.31,0.29,0.31,1209000,0.31
2011-06-15,0.32,0.32,0.31,0.31,122000,0.31
2011-06-14,0.31,0.32,0.31,0.31,264000,0.31
2011-06-13,0.32,0.32,0.31,0.32,658000,0.32
2011-06-10,0.34,0.34,0.32,0.32,739000,0.32
2011-06-09,0.34,0.34,0.34,0.34,77000,0.34
2011-06-08,0.34,0.34,0.34,0.34,342000,0.34
2011-06-07,0.34,0.34,0.34,0.34,543000,0.34
2011-06-06,0.34,0.34,0.34,0.34,327000,0.34
2011-06-03,0.34,0.34,0.34,0.34,750000,0.34
2011-06-02,0.35,0.35,0.34,0.34,229000,0.34
2011-06-01,0.36,0.36,0.35,0.35,558000,0.35
2011-05-31,0.35,0.37,0.35,0.37,692000,0.37
2011-05-30,0.36,0.36,0.35,0.35,280000,0.35
2011-05-27,0.36,0.36,0.35,0.36,1583000,0.36
2011-05-26,0.37,0.37,0.36,0.36,678000,0.36
2011-05-25,0.37,0.37,0.36,0.37,959000,0.37
2011-05-24,0.38,0.38,0.37,0.37,1438000,0.37
2011-05-23,0.38,0.38,0.37,0.37,832000,0.37
2011-05-20,0.40,0.40,0.38,0.38,427000,0.38
2011-05-19,0.39,0.40,0.38,0.38,347000,0.38
2011-05-18,0.38,0.39,0.38,0.38,521000,0.38
2011-05-16,0.39,0.39,0.39,0.39,430000,0.39
2011-05-13,0.40,0.40,0.39,0.40,295000,0.40
2011-05-12,0.40,0.40,0.39,0.39,421000,0.39
2011-05-11,0.40,0.41,0.40,0.40,754000,0.40
2011-05-10,0.41,0.41,0.40,0.40,1124000,0.40
2011-05-09,0.41,0.41,0.40,0.40,544000,0.40
2011-05-06,0.40,0.40,0.39,0.40,462000,0.40
2011-05-05,0.40,0.40,0.40,0.40,305000,0.40
2011-05-04,0.41,0.41,0.40,0.40,1196000,0.40
2011-05-03,0.41,0.41,0.40,0.40,976000,0.40
2011-04-29,0.41,0.41,0.41,0.41,212000,0.41
2011-04-28,0.41,0.41,0.41,0.41,431000,0.41
2011-04-27,0.42,0.42,0.41,0.41,1673000,0.41
2011-04-26,0.41,0.41,0.41,0.41,1713000,0.41
2011-04-25,0.41,0.42,0.41,0.41,2386000,0.41
2011-04-21,0.41,0.41,0.41,0.41,570000,0.41
2011-04-20,0.41,0.41,0.41,0.41,388000,0.41
2011-04-19,0.40,0.41,0.40,0.40,667000,0.40
2011-04-18,0.41,0.41,0.40,0.40,1884000,0.40
2011-04-15,0.41,0.41,0.41,0.41,1703000,0.41
2011-04-14,0.42,0.43,0.41,0.41,1422000,0.41
2011-04-13,0.41,0.42,0.41,0.42,519000,0.42
2011-04-12,0.42,0.42,0.41,0.41,668000,0.41
2011-04-11,0.44,0.44,0.42,0.42,2108000,0.42
2011-04-08,0.42,0.44,0.42,0.43,4667000,0.43
2011-04-07,0.41,0.42,0.41,0.41,1442000,0.41
2011-04-06,0.41,0.43,0.41,0.41,5578000,0.41
2011-04-05,0.41,0.41,0.40,0.41,1211000,0.41
2011-04-04,0.41,0.41,0.40,0.41,1562000,0.41
2011-04-01,0.40,0.41,0.40,0.41,1365000,0.41
2011-03-31,0.41,0.41,0.40,0.40,562000,0.40
2011-03-30,0.40,0.41,0.40,0.41,2257000,0.41
2011-03-29,0.40,0.41,0.40,0.40,1335000,0.40
2011-03-28,0.41,0.41,0.40,0.41,1027000,0.41
2011-03-25,0.41,0.41,0.40,0.41,4188000,0.41
2011-03-24,0.39,0.41,0.39,0.40,3948000,0.40
2011-03-23,0.38,0.40,0.38,0.39,1261000,0.39
2011-03-22,0.38,0.39,0.38,0.38,810000,0.38
2011-03-21,0.37,0.38,0.37,0.38,1806000,0.38
2011-03-18,0.38,0.38,0.37,0.37,730000,0.37
2011-03-17,0.37,0.38,0.37,0.37,788000,0.37
2011-03-16,0.38,0.38,0.37,0.38,1238000,0.38
2011-03-15,0.38,0.38,0.36,0.37,2498000,0.37
2011-03-14,0.38,0.39,0.38,0.38,1301000,0.38
2011-03-11,0.39,0.40,0.38,0.39,1444000,0.39
2011-03-10,0.40,0.40,0.40,0.40,269000,0.40
2011-03-09,0.41,0.41,0.40,0.40,1509000,0.40
2011-03-08,0.40,0.41,0.40,0.40,3251000,0.40
2011-03-07,0.38,0.40,0.38,0.40,7424000,0.40
2011-03-04,0.38,0.38,0.38,0.38,440000,0.38
2011-03-03,0.38,0.39,0.38,0.38,2841000,0.38
2011-03-02,0.38,0.38,0.38,0.38,607000,0.38
2011-03-01,0.38,0.40,0.38,0.38,2635000,0.38
2011-02-28,0.38,0.38,0.37,0.38,1161000,0.38
2011-02-25,0.38,0.38,0.38,0.38,1518000,0.38
2011-02-24,0.38,0.38,0.37,0.37,2530000,0.37
2011-02-23,0.37,0.38,0.36,0.38,3448000,0.38
2011-02-22,0.38,0.38,0.37,0.38,2739000,0.38
2011-02-21,0.41,0.41,0.40,0.40,2195000,0.40
2011-02-18,0.41,0.41,0.40,0.41,1729000,0.41
2011-02-17,0.43,0.43,0.41,0.41,2671000,0.41
2011-02-16,0.41,0.43,0.41,0.41,4012000,0.41
2011-02-15,0.43,0.43,0.41,0.42,2419000,0.42
2011-02-14,0.44,0.44,0.43,0.43,921000,0.43
2011-02-11,0.44,0.44,0.42,0.43,2948000,0.43
2011-02-10,0.45,0.45,0.44,0.44,1910000,0.44
2011-02-09,0.46,0.47,0.44,0.46,8276000,0.46
2011-02-08,0.44,0.46,0.44,0.45,2280000,0.45
2011-02-07,0.44,0.45,0.44,0.44,1540000,0.44
2011-02-02,0.44,0.45,0.44,0.44,2608000,0.44
2011-02-01,0.44,0.45,0.44,0.44,5841000,0.44
2011-01-31,0.44,0.46,0.44,0.46,1349000,0.46
2011-01-28,0.44,0.46,0.44,0.46,1935000,0.46
2011-01-27,0.44,0.47,0.44,0.44,2685000,0.44
2011-01-26,0.43,0.44,0.43,0.44,2088000,0.44
2011-01-25,0.47,0.47,0.44,0.44,4217000,0.44
2011-01-24,0.47,0.47,0.46,0.47,2078000,0.47
2011-01-21,0.46,0.47,0.46,0.46,1978000,0.46
2011-01-20,0.47,0.47,0.46,0.46,4840000,0.46
2011-01-19,0.47,0.48,0.47,0.47,1512000,0.47
