Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,3.55,3.55,3.53,3.53,6000,3.53
2011-08-03,3.60,3.61,3.59,3.59,14000,3.59
2011-08-02,3.65,3.65,3.64,3.64,8000,3.64
2011-08-01,3.71,3.71,3.71,3.71,2000,3.71
2011-07-29,3.67,3.74,3.67,3.67,000,3.67
2011-07-28,3.68,3.74,3.68,3.68,000,3.68
2011-07-27,3.74,3.74,3.74,3.74,2000,3.74
2011-07-26,3.74,3.74,3.74,3.74,1000,3.74
2011-07-25,3.70,3.77,3.70,3.75,8000,3.75
2011-07-22,3.70,3.77,3.70,3.77,6000,3.77
2011-07-21,3.70,3.70,3.70,3.70,3000,3.70
2011-07-20,3.76,3.76,3.70,3.70,2000,3.70
2011-07-19,3.73,3.76,3.73,3.76,11000,3.76
2011-07-18,3.70,3.78,3.70,3.77,9000,3.77
2011-07-15,3.65,3.74,3.65,3.70,49000,3.70
2011-07-14,3.60,3.63,3.60,3.63,11000,3.63
2011-07-13,3.57,3.58,3.57,3.58,9000,3.58
2011-07-12,3.51,3.58,3.51,3.51,000,3.51
2011-07-11,3.51,3.60,3.51,3.57,60000,3.57
2011-07-08,3.44,3.50,3.40,3.50,74000,3.50
2011-07-07,3.40,3.40,3.40,3.40,7000,3.40
2011-07-06,3.38,3.41,3.38,3.38,000,3.38
2011-07-05,3.43,3.43,3.39,3.40,20000,3.40
2011-07-04,3.45,3.45,3.43,3.45,14000,3.45
2011-07-01,3.43,3.43,3.40,3.43,28000,3.43
2011-06-30,3.39,3.40,3.39,3.40,6000,3.40
2011-06-29,3.32,3.38,3.30,3.38,22000,3.38
2011-06-28,3.32,3.32,3.28,3.31,10000,3.31
2011-06-27,3.30,3.30,3.30,3.30,3000,3.30
2011-06-24,3.30,3.30,3.30,3.30,4000,3.30
2011-06-23,3.23,3.30,3.23,3.23,000,3.23
2011-06-22,3.26,3.30,3.26,3.30,5000,3.30
2011-06-21,3.25,3.26,3.25,3.26,8000,3.26
2011-06-20,3.25,3.25,3.25,3.25,4000,3.25
2011-06-17,3.25,3.25,3.25,3.25,4000,3.25
2011-06-16,3.29,3.29,3.25,3.25,16000,3.25
2011-06-15,3.21,3.26,3.21,3.21,000,3.21
2011-06-14,3.21,3.21,3.20,3.20,8000,3.20
2011-06-13,3.21,3.23,3.21,3.21,25000,3.21
2011-06-10,3.25,3.25,3.25,3.25,10000,3.25
2011-06-09,3.23,3.24,3.23,3.23,11000,3.23
2011-06-08,3.22,3.25,3.22,3.22,000,3.22
2011-06-07,3.20,3.24,3.20,3.24,12000,3.24
2011-06-06,3.20,3.20,3.20,3.20,9000,3.20
2011-06-03,3.20,3.20,3.20,3.20,2000,3.20
2011-06-02,3.17,3.24,3.17,3.17,000,3.17
2011-06-01,3.19,3.19,3.19,3.19,2000,3.19
2011-05-31,3.20,3.20,3.19,3.20,27000,3.20
2011-05-30,3.19,3.19,3.19,3.19,8000,3.19
2011-05-27,3.19,3.19,3.19,3.19,2000,3.19
2011-05-26,3.15,3.19,3.15,3.15,000,3.15
2011-05-25,3.15,3.15,3.14,3.14,9000,3.14
2011-05-24,3.15,3.19,3.15,3.15,000,3.15
2011-05-23,3.15,3.18,3.15,3.18,10000,3.18
2011-05-20,3.19,3.19,3.19,3.19,3000,3.19
2011-05-19,3.18,3.18,3.18,3.18,19000,3.18
2011-05-18,3.17,3.17,3.15,3.15,9000,3.15
2011-05-16,3.12,3.16,3.12,3.12,000,3.12
2011-05-13,3.14,3.16,3.14,3.15,19000,3.15
2011-05-12,3.12,3.15,3.12,3.14,34000,3.14
2011-05-11,3.09,3.11,3.09,3.09,000,3.09
2011-05-10,3.08,3.08,3.08,3.08,2000,3.08
2011-05-09,3.01,3.09,3.01,3.01,000,3.01
2011-05-06,3.08,3.08,3.08,3.08,4000,3.08
2011-05-05,3.06,3.08,3.06,3.06,000,3.06
2011-05-04,3.01,3.01,3.00,3.00,8000,3.00
2011-05-03,3.01,3.05,2.98,3.00,67000,3.00
2011-04-29,3.12,3.13,3.12,3.13,9000,3.13
2011-04-28,3.14,3.14,3.14,3.14,3000,3.14
2011-04-27,3.17,3.17,3.16,3.16,6000,3.16
2011-04-26,3.20,3.20,3.17,3.17,8000,3.17
2011-04-25,3.20,3.20,3.20,3.20,31000,3.20
2011-04-21,3.17,3.18,3.16,3.18,34000,3.18
2011-04-20,3.17,3.17,3.15,3.15,10000,3.15
2011-04-19,3.10,3.16,3.10,3.15,22000,3.15
2011-04-18,3.18,3.18,3.18,3.18,3000,3.18
2011-04-15,3.15,3.15,3.15,3.15,18000,3.15
2011-04-14,3.15,3.15,3.15,3.15,10000,3.15
2011-04-13,3.15,3.15,3.15,3.15,1000,3.15
2011-04-12,3.15,3.16,3.15,3.16,10000,3.16
2011-04-11,3.10,3.15,3.10,3.10,000,3.10
2011-04-08,3.14,3.14,3.14,3.14,5000,3.14
2011-04-07,3.09,3.14,3.09,3.09,000,3.09
2011-04-06,3.08,3.15,3.08,3.08,000,3.08
2011-04-05,3.14,3.18,3.14,3.14,21000,3.14
2011-04-04,3.06,3.16,3.06,3.06,000,3.06
2011-04-01,3.04,3.15,3.04,3.04,000,3.04
2011-03-31,3.04,3.06,3.04,3.04,000,3.04
2011-03-30,3.09,3.09,3.09,3.09,6000,3.09
