Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,3.33,3.35,3.32,3.35,18000,3.35
2011-08-03,3.31,3.33,3.31,3.33,30000,3.33
2011-08-02,3.32,3.32,3.31,3.31,3000,3.31
2011-08-01,3.35,3.35,3.35,3.35,14000,3.35
2011-07-29,3.35,3.35,3.32,3.32,38000,3.32
2011-07-28,3.35,3.35,3.34,3.34,19000,3.34
2011-07-27,3.45,3.45,3.30,3.35,24000,3.35
2011-07-26,3.40,3.60,3.40,3.40,000,3.40
2011-07-25,3.40,3.40,3.40,3.40,13000,3.40
2011-07-22,3.36,3.54,3.36,3.36,000,3.36
2011-07-21,3.40,3.54,3.40,3.40,000,3.40
2011-07-20,3.41,3.52,3.41,3.41,000,3.41
2011-07-19,3.40,3.40,3.40,3.40,25000,3.40
2011-07-18,3.44,3.57,3.44,3.44,000,3.44
2011-07-15,3.42,3.58,3.42,3.42,000,3.42
2011-07-14,3.43,3.43,3.43,3.43,1000,3.43
2011-07-13,3.44,3.58,3.44,3.44,000,3.44
2011-07-12,3.50,3.50,3.48,3.48,3000,3.48
2011-07-11,3.50,3.50,3.50,3.50,8000,3.50
2011-07-08,3.49,3.50,3.49,3.50,30000,3.50
2011-07-07,3.50,3.50,3.50,3.50,47000,3.50
2011-07-06,3.52,3.52,3.50,3.50,22000,3.50
2011-07-05,3.52,3.58,3.52,3.52,000,3.52
2011-07-04,3.52,3.60,3.52,3.52,000,3.52
2011-07-01,3.50,3.50,3.50,3.50,37000,3.50
2011-06-30,3.51,3.52,3.50,3.50,66000,3.50
2011-06-29,3.55,3.55,3.46,3.50,42000,3.50
2011-06-28,3.55,3.80,3.55,3.55,000,3.55
2011-06-27,3.52,3.70,3.52,3.52,000,3.52
2011-06-24,3.55,3.70,3.55,3.55,000,3.55
2011-06-23,3.53,3.55,3.53,3.55,8000,3.55
2011-06-22,3.60,3.60,3.60,3.60,3000,3.60
2011-06-21,3.60,3.60,3.60,3.60,6000,3.60
2011-06-20,3.51,3.60,3.51,3.51,000,3.51
2011-06-17,3.50,3.60,3.50,3.50,000,3.50
2011-06-16,3.50,3.58,3.50,3.50,000,3.50
2011-06-15,3.58,3.58,3.55,3.55,23000,3.55
2011-06-14,3.61,3.61,3.60,3.60,19000,3.60
2011-06-13,3.68,3.68,3.63,3.63,4000,3.63
2011-06-10,3.70,3.70,3.65,3.65,23000,3.65
2011-06-09,3.66,3.66,3.64,3.64,5000,3.64
2011-06-08,3.65,3.66,3.65,3.65,000,3.65
2011-06-07,3.66,3.66,3.66,3.66,30000,3.66
2011-06-06,3.66,3.68,3.66,3.68,3000,3.68
2011-06-03,3.65,3.67,3.65,3.65,000,3.65
2011-06-02,3.67,3.67,3.66,3.66,10000,3.66
2011-06-01,3.67,3.68,3.66,3.67,23000,3.67
2011-05-31,3.68,3.68,3.67,3.67,15000,3.67
2011-05-30,3.68,3.69,3.68,3.68,19000,3.68
2011-05-27,3.68,3.70,3.67,3.67,34000,3.67
2011-05-26,3.68,3.68,3.67,3.67,23000,3.67
2011-05-25,3.70,3.70,3.68,3.68,6000,3.68
2011-05-24,3.78,3.78,3.78,3.78,6000,3.78
2011-05-23,3.77,3.78,3.76,3.78,51000,3.78
2011-05-20,3.80,3.80,3.80,3.80,105000,3.80
2011-05-19,3.70,3.78,3.69,3.78,42000,3.78
2011-05-18,3.71,3.71,3.68,3.69,28000,3.69
2011-05-16,3.73,3.73,3.73,3.73,23000,3.73
2011-05-13,3.73,3.73,3.73,3.73,19000,3.73
2011-05-12,3.77,3.77,3.73,3.73,5000,3.73
2011-05-11,3.74,3.74,3.74,3.74,4000,3.74
2011-05-10,3.75,3.75,3.74,3.74,19000,3.74
2011-05-09,3.78,3.78,3.78,3.78,8000,3.78
2011-05-06,3.68,3.78,3.68,3.68,000,3.68
2011-05-05,3.69,3.78,3.69,3.69,000,3.69
2011-05-04,3.69,3.88,3.69,3.69,000,3.69
2011-05-03,3.71,3.78,3.71,3.71,000,3.71
2011-04-29,3.71,3.80,3.71,3.71,000,3.71
2011-04-28,3.72,3.88,3.72,3.72,000,3.72
2011-04-27,3.76,3.86,3.76,3.76,000,3.76
2011-04-26,3.71,3.83,3.71,3.71,000,3.71
2011-04-25,3.78,3.78,3.78,3.78,9000,3.78
2011-04-21,3.78,3.78,3.78,3.78,1000,3.78
2011-04-20,3.79,3.80,3.79,3.80,3000,3.80
2011-04-19,3.78,3.78,3.78,3.78,1000,3.78
2011-04-18,3.78,3.87,3.78,3.78,000,3.78
2011-04-15,3.79,3.79,3.79,3.79,1000,3.79
2011-04-14,3.76,3.79,3.73,3.74,48000,3.74
2011-04-13,3.85,3.85,3.85,3.85,25000,3.85
2011-04-12,3.86,3.86,3.85,3.85,10000,3.85
2011-04-11,3.90,3.90,3.86,3.86,12000,3.86
2011-04-08,3.91,3.91,3.91,3.91,34000,3.91
2011-04-07,3.87,3.87,3.87,3.87,2000,3.87
2011-04-06,3.84,3.84,3.84,3.84,1000,3.84
2011-04-05,3.82,3.89,3.82,3.82,000,3.82
2011-04-04,3.88,3.88,3.86,3.86,24000,3.86
2011-04-01,3.89,3.89,3.85,3.87,13000,3.87
2011-03-31,3.88,3.92,3.88,3.88,000,3.88
2011-03-30,3.84,3.89,3.84,3.89,24000,3.89
2011-03-29,3.91,3.91,3.91,3.91,20000,3.91
2011-03-28,3.93,3.93,3.93,3.93,3000,3.93
2011-03-25,3.90,3.90,3.88,3.88,32000,3.88
2011-03-24,3.90,3.92,3.89,3.92,14000,3.92
2011-03-23,3.83,3.85,3.83,3.84,10000,3.84
2011-03-22,3.88,3.88,3.88,3.88,3000,3.88
2011-03-21,3.83,3.90,3.83,3.83,000,3.83
2011-03-18,3.50,4.00,3.50,3.50,000,3.50
2011-03-17,3.80,4.00,3.80,3.80,000,3.80
2011-03-16,3.80,4.00,3.80,3.80,000,3.80
2011-03-15,3.90,3.90,3.90,3.90,1000,3.90
2011-03-14,3.97,4.08,3.97,3.97,000,3.97
2011-03-11,4.00,4.00,3.96,4.00,21000,4.00
2011-03-10,3.95,4.08,3.95,3.95,000,3.95
2011-03-09,4.00,4.00,4.00,4.00,6000,4.00
2011-03-08,3.98,3.98,3.98,3.98,45000,3.98
2011-03-07,4.10,4.10,4.01,4.01,4000,4.01
2011-03-04,4.00,4.00,4.00,4.00,41000,4.00
2011-03-03,3.91,4.00,3.91,3.91,000,3.91
2011-03-02,4.00,4.00,4.00,4.00,25000,4.00
2011-03-01,3.95,4.00,3.95,3.95,000,3.95
2011-02-28,4.00,4.00,4.00,4.00,3000,4.00
2011-02-25,4.00,4.00,4.00,4.00,2000,4.00
2011-02-24,3.93,3.93,3.93,3.93,1000,3.93
2011-02-23,4.05,4.05,3.98,3.98,12000,3.98
2011-02-22,4.07,4.07,4.05,4.06,26000,4.06
2011-02-21,4.15,4.15,4.15,4.15,8000,4.15
2011-02-18,4.06,4.10,4.06,4.06,000,4.06
2011-02-17,4.10,4.10,4.09,4.09,25000,4.09
2011-02-16,4.06,4.06,4.06,4.06,2000,4.06
2011-02-15,4.06,4.08,4.06,4.06,000,4.06
2011-02-14,4.10,4.10,4.10,4.10,5000,4.10
2011-02-11,4.08,4.16,4.07,4.13,18000,4.13
2011-02-10,4.08,4.12,4.08,4.08,000,4.08
2011-02-09,4.11,4.11,4.08,4.08,7000,4.08
2011-02-08,4.10,4.13,4.10,4.13,3000,4.13
2011-02-07,4.14,4.14,4.14,4.14,1000,4.14
2011-02-02,4.14,4.20,4.14,4.14,000,4.14
2011-02-01,4.20,4.20,4.20,4.20,18000,4.20
2011-01-31,4.22,4.22,4.21,4.21,12000,4.21
2011-01-28,4.24,4.25,4.24,4.25,12000,4.25
2011-01-27,4.25,4.25,4.24,4.24,7000,4.24
2011-01-26,4.25,4.25,4.25,4.25,10000,4.25
2011-01-25,4.20,4.24,4.20,4.24,6000,4.24
2011-01-24,4.21,4.24,4.21,4.21,000,4.21
2011-01-21,4.21,4.21,4.20,4.20,13000,4.20
2011-01-20,4.23,4.23,4.22,4.22,16000,4.22
2011-01-19,4.23,4.24,4.23,4.24,28000,4.24
2011-01-18,4.23,4.23,4.23,4.23,15000,4.23
2011-01-17,4.23,4.25,4.23,4.23,000,4.23
2011-01-14,4.25,4.25,4.23,4.23,100000,4.23
2011-01-13,4.23,4.23,4.22,4.23,222000,4.23
2011-01-12,4.25,4.25,4.23,4.23,50000,4.23
2011-01-11,4.23,4.23,4.22,4.23,67000,4.23
2011-01-10,4.25,4.25,4.24,4.24,126000,4.24
2011-01-07,4.25,4.25,4.25,4.25,7000,4.25
2011-01-06,4.26,4.28,4.25,4.25,163000,4.25
