Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,1.45,1.47,1.45,1.45,526000,1.45
2011-08-03,1.47,1.47,1.45,1.46,638000,1.46
2011-08-02,1.48,1.49,1.48,1.49,469000,1.49
2011-08-01,1.48,1.49,1.48,1.49,419000,1.49
2011-07-29,1.48,1.49,1.48,1.48,461000,1.48
2011-07-28,1.49,1.49,1.48,1.48,761000,1.48
2011-07-27,1.47,1.49,1.47,1.49,557000,1.49
2011-07-26,1.47,1.48,1.47,1.47,172000,1.47
2011-07-25,1.47,1.47,1.46,1.47,182000,1.47
2011-07-22,1.46,1.49,1.46,1.48,1448000,1.48
2011-07-21,1.44,1.46,1.44,1.45,1265000,1.45
2011-07-20,1.46,1.47,1.43,1.45,3458000,1.45
2011-07-19,1.46,1.47,1.45,1.46,560000,1.46
2011-07-18,1.46,1.46,1.45,1.46,604000,1.46
2011-07-15,1.47,1.48,1.46,1.46,493000,1.46
2011-07-14,1.48,1.48,1.47,1.47,642000,1.47
2011-07-13,1.48,1.49,1.48,1.48,278000,1.48
2011-07-12,1.49,1.50,1.47,1.48,389000,1.48
2011-07-11,1.51,1.52,1.50,1.50,487000,1.50
2011-07-08,1.49,1.52,1.49,1.51,1413000,1.51
2011-07-07,1.49,1.49,1.48,1.49,290000,1.49
2011-07-06,1.49,1.50,1.47,1.49,1125000,1.49
2011-07-05,1.50,1.50,1.48,1.49,947000,1.49
2011-07-04,1.47,1.49,1.47,1.49,408000,1.49
2011-07-01,1.49,1.49,1.46,1.47,1258000,1.47
2011-06-30,1.47,1.49,1.46,1.47,1238000,1.47
2011-06-29,1.48,1.48,1.46,1.47,345000,1.47
2011-06-28,1.48,1.50,1.47,1.47,229000,1.47
2011-06-27,1.47,1.49,1.46,1.49,344000,1.49
2011-06-24,1.45,1.48,1.45,1.47,366000,1.47
2011-06-23,1.44,1.46,1.44,1.44,203000,1.44
2011-06-22,1.47,1.47,1.44,1.45,340000,1.45
2011-06-21,1.46,1.47,1.44,1.46,1355000,1.46
2011-06-20,1.45,1.47,1.44,1.44,592000,1.44
