Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.14,0.14,0.14,0.14,78000,0.14
2011-08-03,0.16,0.16,0.16,0.16,796000,0.16
2011-08-02,0.16,0.16,0.16,0.16,12000,0.16
2011-08-01,0.16,0.16,0.16,0.16,198000,0.16
2011-07-29,0.17,0.17,0.16,0.16,495000,0.16
2011-07-28,0.17,0.17,0.16,0.17,401000,0.17
2011-07-27,0.17,0.17,0.16,0.17,153000,0.17
2011-07-26,0.16,0.17,0.16,0.17,148000,0.17
2011-07-25,0.16,0.17,0.16,0.16,000,0.16
2011-07-22,0.16,0.17,0.16,0.16,000,0.16
2011-07-21,0.16,0.16,0.16,0.16,235000,0.16
2011-07-20,0.16,0.16,0.16,0.16,130000,0.16
2011-07-19,0.17,0.17,0.16,0.16,395000,0.16
2011-07-18,0.17,0.17,0.16,0.16,35000,0.16
2011-07-15,0.16,0.17,0.16,0.17,40000,0.17
2011-07-14,0.16,0.17,0.16,0.16,000,0.16
2011-07-13,0.16,0.16,0.16,0.16,63000,0.16
2011-07-12,0.16,0.17,0.16,0.17,163000,0.17
2011-07-11,0.16,0.17,0.16,0.16,000,0.16
2011-07-08,0.16,0.16,0.16,0.16,19000,0.16
2011-07-07,0.16,0.17,0.16,0.16,000,0.16
2011-07-06,0.16,0.17,0.16,0.16,000,0.16
2011-07-05,0.16,0.17,0.16,0.16,249000,0.16
2011-07-04,0.17,0.17,0.16,0.16,341000,0.16
2011-07-01,0.17,0.17,0.16,0.17,65000,0.17
2011-06-30,0.16,0.16,0.16,0.16,123000,0.16
2011-06-29,0.16,0.16,0.16,0.16,72000,0.16
2011-06-28,0.16,0.17,0.16,0.16,000,0.16
2011-06-27,0.16,0.16,0.16,0.16,92000,0.16
2011-06-24,0.16,0.16,0.16,0.16,69000,0.16
2011-06-23,0.16,0.16,0.16,0.16,121000,0.16
2011-06-22,0.16,0.16,0.16,0.16,124000,0.16
2011-06-21,0.16,0.16,0.16,0.16,70000,0.16
2011-06-20,0.16,0.16,0.16,0.16,602000,0.16
2011-06-17,0.16,0.16,0.16,0.16,155000,0.16
2011-06-16,0.16,0.16,0.16,0.16,149000,0.16
2011-06-15,0.16,0.17,0.16,0.16,000,0.16
2011-06-14,0.16,0.16,0.16,0.16,353000,0.16
2011-06-13,0.16,0.16,0.16,0.16,000,0.16
2011-06-10,0.17,0.17,0.16,0.16,44000,0.16
2011-06-09,0.16,0.16,0.16,0.16,210000,0.16
2011-06-08,0.17,0.17,0.17,0.17,236000,0.17
2011-06-07,0.16,0.16,0.16,0.16,480000,0.16
2011-06-06,0.17,0.17,0.16,0.16,1129000,0.16
2011-06-03,0.17,0.17,0.17,0.17,575000,0.17
