Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.18,0.18,0.17,0.18,340000,0.18
2011-08-03,0.17,0.18,0.17,0.18,568000,0.18
2011-08-02,0.18,0.18,0.18,0.18,000,0.18
2011-08-01,0.18,0.18,0.18,0.18,390000,0.18
2011-07-29,0.18,0.18,0.18,0.18,1714000,0.18
2011-07-28,0.17,0.18,0.17,0.18,954000,0.18
2011-07-27,0.18,0.18,0.18,0.18,287000,0.18
2011-07-26,0.18,0.18,0.18,0.18,143000,0.18
2011-07-25,0.18,0.18,0.17,0.18,850000,0.18
2011-07-22,0.18,0.18,0.18,0.18,792000,0.18
2011-07-21,0.18,0.18,0.18,0.18,302000,0.18
2011-07-20,0.18,0.18,0.18,0.18,275000,0.18
2011-07-19,0.18,0.18,0.17,0.18,598000,0.18
2011-07-18,0.18,0.18,0.17,0.18,961000,0.18
2011-07-15,0.18,0.18,0.18,0.18,679000,0.18
2011-07-14,0.18,0.18,0.18,0.18,339000,0.18
2011-07-13,0.19,0.19,0.18,0.18,388000,0.18
2011-07-12,0.19,0.19,0.18,0.19,785000,0.19
2011-07-11,0.19,0.19,0.19,0.19,124000,0.19
2011-07-08,0.19,0.19,0.19,0.19,580000,0.19
2011-07-07,0.19,0.19,0.19,0.19,681000,0.19
2011-07-06,0.19,0.19,0.19,0.19,753000,0.19
2011-07-05,0.19,0.19,0.19,0.19,1812000,0.19
2011-07-04,0.19,0.19,0.19,0.19,512000,0.19
2011-07-01,0.19,0.19,0.19,0.19,1169000,0.19
2011-06-30,0.19,0.19,0.19,0.19,215000,0.19
2011-06-29,0.19,0.19,0.19,0.19,429000,0.19
2011-06-28,0.19,0.19,0.19,0.19,1117000,0.19
2011-06-27,0.19,0.19,0.19,0.19,278000,0.19
2011-06-24,0.19,0.19,0.19,0.19,8294000,0.19
2011-06-23,0.19,0.19,0.19,0.19,316000,0.19
2011-06-22,0.19,0.19,0.19,0.19,1302000,0.19
2011-06-21,0.19,0.19,0.19,0.19,789000,0.19
2011-06-20,0.19,0.19,0.19,0.19,768000,0.19
2011-06-17,0.19,0.19,0.19,0.19,873000,0.19
2011-06-16,0.19,0.19,0.19,0.19,871000,0.19
2011-06-15,0.19,0.19,0.19,0.19,3483000,0.19
2011-06-14,0.19,0.19,0.19,0.19,304000,0.19
2011-06-13,0.19,0.19,0.19,0.19,2062000,0.19
2011-06-10,0.19,0.19,0.19,0.19,1237000,0.19
2011-06-09,0.19,0.19,0.19,0.19,2049000,0.19
2011-06-08,0.19,0.19,0.19,0.19,856000,0.19
2011-06-07,0.19,0.19,0.19,0.19,739000,0.19
2011-06-06,0.19,0.19,0.19,0.19,712000,0.19
2011-06-03,0.19,0.19,0.19,0.19,172000,0.19
2011-06-02,0.19,0.19,0.19,0.19,2564000,0.19
2011-06-01,0.19,0.20,0.19,0.19,12864000,0.19
2011-05-31,0.19,0.19,0.19,0.19,960000,0.19
2011-05-30,0.19,0.19,0.19,0.19,820000,0.19
2011-05-27,0.19,0.19,0.19,0.19,965000,0.19
2011-05-26,0.19,0.19,0.19,0.19,1400000,0.19
2011-05-25,0.19,0.19,0.19,0.19,2054000,0.19
