Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.34,0.34,0.34,0.34,130000,0.34
2011-08-03,0.34,0.34,0.34,0.34,138000,0.34
2011-08-02,0.34,0.35,0.34,0.35,751000,0.35
2011-08-01,0.34,0.34,0.34,0.34,000,0.34
2011-07-29,0.34,0.34,0.34,0.34,000,0.34
2011-07-28,0.34,0.34,0.34,0.34,48000,0.34
2011-07-27,0.34,0.34,0.34,0.34,97000,0.34
2011-07-26,0.34,0.34,0.34,0.34,57000,0.34
2011-07-25,0.34,0.34,0.34,0.34,60000,0.34
2011-07-22,0.34,0.34,0.34,0.34,22000,0.34
2011-07-21,0.34,0.34,0.34,0.34,1000,0.34
2011-07-20,0.34,0.34,0.34,0.34,000,0.34
2011-07-19,0.34,0.34,0.34,0.34,20000,0.34
2011-07-18,0.34,0.34,0.34,0.34,137000,0.34
2011-07-15,0.34,0.35,0.34,0.34,000,0.34
2011-07-14,0.34,0.34,0.34,0.34,67000,0.34
2011-07-13,0.34,0.34,0.34,0.34,50000,0.34
2011-07-12,0.34,0.34,0.34,0.34,124000,0.34
2011-07-11,0.34,0.35,0.34,0.35,70000,0.35
2011-07-08,0.35,0.35,0.34,0.35,68000,0.35
2011-07-07,0.34,0.35,0.34,0.34,000,0.34
2011-07-06,0.35,0.35,0.35,0.35,11000,0.35
2011-07-05,0.35,0.35,0.35,0.35,20000,0.35
2011-07-04,0.36,0.36,0.35,0.36,286000,0.36
2011-07-01,0.35,0.35,0.35,0.35,445000,0.35
2011-06-30,0.35,0.35,0.34,0.34,74000,0.34
2011-06-29,0.34,0.34,0.34,0.34,000,0.34
2011-06-28,0.34,0.34,0.34,0.34,19000,0.34
2011-06-27,0.35,0.35,0.34,0.34,33000,0.34
2011-06-24,0.34,0.35,0.34,0.35,81000,0.35
2011-06-23,0.34,0.34,0.34,0.34,91000,0.34
2011-06-22,0.34,0.34,0.34,0.34,25000,0.34
2011-06-21,0.33,0.34,0.33,0.34,71000,0.34
2011-06-20,0.34,0.34,0.34,0.34,35000,0.34
2011-06-17,0.34,0.34,0.34,0.34,80000,0.34
2011-06-16,0.35,0.35,0.34,0.35,93000,0.35
2011-06-15,0.36,0.36,0.36,0.36,74000,0.36
2011-06-14,0.35,0.37,0.35,0.37,240000,0.37
2011-06-13,0.37,0.37,0.35,0.35,222000,0.35
2011-06-10,0.37,0.37,0.35,0.37,470000,0.37
2011-06-09,0.34,0.37,0.34,0.37,982000,0.37
2011-06-08,0.34,0.34,0.34,0.34,548000,0.34
2011-06-07,0.32,0.33,0.32,0.33,87000,0.33
2011-06-06,0.33,0.33,0.32,0.33,85000,0.33
2011-06-03,0.32,0.33,0.32,0.32,000,0.32
2011-06-02,0.32,0.33,0.32,0.33,112000,0.33
2011-06-01,0.33,0.34,0.32,0.34,230000,0.34
2011-05-31,0.33,0.33,0.33,0.33,17000,0.33
2011-05-30,0.31,0.32,0.31,0.32,11000,0.32
2011-05-27,0.33,0.33,0.32,0.33,284000,0.33
2011-05-26,0.33,0.33,0.33,0.33,70000,0.33
2011-05-25,0.33,0.33,0.33,0.33,30000,0.33
2011-05-24,0.32,0.33,0.32,0.32,000,0.32
2011-05-23,0.33,0.33,0.33,0.33,76000,0.33
2011-05-20,0.33,0.33,0.33,0.33,47000,0.33
2011-05-19,0.33,0.33,0.33,0.33,95000,0.33
2011-05-18,0.33,0.33,0.33,0.33,77000,0.33
2011-05-16,0.33,0.33,0.32,0.32,65000,0.32
2011-05-13,0.34,0.34,0.33,0.33,225000,0.33
2011-05-12,0.33,0.33,0.33,0.33,609000,0.33
2011-05-11,0.32,0.33,0.32,0.33,80000,0.33
2011-05-10,0.32,0.32,0.32,0.32,75000,0.32
2011-05-09,0.31,0.33,0.31,0.31,000,0.31
2011-05-06,0.33,0.33,0.33,0.33,15000,0.33
2011-05-05,0.31,0.31,0.31,0.31,65000,0.31
2011-05-04,0.34,0.34,0.33,0.34,107000,0.34
2011-05-03,0.34,0.34,0.33,0.34,95000,0.34
2011-04-29,0.34,0.34,0.34,0.34,130000,0.34
2011-04-28,0.34,0.34,0.34,0.34,000,0.34
2011-04-27,0.34,0.34,0.34,0.34,227000,0.34
2011-04-26,0.34,0.34,0.34,0.34,50000,0.34
2011-04-25,0.34,0.34,0.34,0.34,248000,0.34
2011-04-21,0.34,0.34,0.34,0.34,67000,0.34
2011-04-20,0.34,0.34,0.34,0.34,41000,0.34
