Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.27,0.32,0.27,0.27,000,0.27
2011-08-03,0.28,0.28,0.28,0.28,40000,0.28
2011-08-02,0.28,0.28,0.28,0.28,92000,0.28
2011-08-01,0.27,0.28,0.27,0.27,000,0.27
2011-07-29,0.28,0.28,0.28,0.28,10000,0.28
2011-07-28,0.27,0.27,0.27,0.27,8000,0.27
2011-07-27,0.28,0.28,0.28,0.28,53000,0.28
2011-07-26,0.27,0.28,0.27,0.28,27000,0.28
2011-07-25,0.28,0.28,0.28,0.28,122000,0.28
2011-07-22,0.27,0.28,0.27,0.27,000,0.27
2011-07-21,0.27,0.28,0.27,0.27,000,0.27
2011-07-20,0.27,0.27,0.27,0.27,1000,0.27
2011-07-19,0.27,0.27,0.27,0.27,64000,0.27
2011-07-18,0.26,0.27,0.26,0.26,44000,0.26
2011-07-15,0.26,0.28,0.26,0.26,000,0.26
2011-07-14,0.26,0.28,0.26,0.26,000,0.26
2011-07-13,0.27,0.27,0.27,0.27,20000,0.27
2011-07-12,0.26,0.26,0.26,0.26,18000,0.26
2011-07-11,0.27,0.28,0.27,0.28,162000,0.28
2011-07-08,0.27,0.27,0.27,0.27,32000,0.27
2011-07-07,0.27,0.27,0.27,0.27,50000,0.27
2011-07-06,0.28,0.28,0.28,0.28,60000,0.28
2011-07-05,0.27,0.27,0.27,0.27,110000,0.27
2011-07-04,0.26,0.28,0.26,0.26,000,0.26
2011-07-01,0.26,0.28,0.26,0.26,000,0.26
2011-06-30,0.26,0.28,0.26,0.26,000,0.26
2011-06-29,0.26,0.28,0.26,0.26,000,0.26
2011-06-28,0.26,0.27,0.26,0.27,99000,0.27
2011-06-27,0.26,0.27,0.26,0.26,000,0.26
2011-06-24,0.26,0.26,0.26,0.26,30000,0.26
2011-06-23,0.26,0.26,0.26,0.26,74000,0.26
2011-06-22,0.26,0.28,0.26,0.26,000,0.26
2011-06-21,0.26,0.26,0.26,0.26,10000,0.26
2011-06-20,0.26,0.26,0.26,0.26,300000,0.26
2011-06-17,0.26,0.26,0.26,0.26,10000,0.26
2011-06-16,0.26,0.28,0.26,0.26,000,0.26
2011-06-15,0.27,0.28,0.27,0.28,35000,0.28
2011-06-14,0.27,0.27,0.27,0.27,19000,0.27
2011-06-13,0.27,0.27,0.27,0.27,15000,0.27
2011-06-10,0.28,0.28,0.28,0.28,98000,0.28
2011-06-09,0.27,0.27,0.27,0.27,10000,0.27
2011-06-08,0.27,0.28,0.27,0.27,000,0.27
2011-06-07,0.27,0.28,0.27,0.27,000,0.27
2011-06-06,0.27,0.27,0.27,0.27,74000,0.27
2011-06-03,0.27,0.27,0.27,0.27,70000,0.27
2011-06-02,0.26,0.26,0.26,0.26,19000,0.26
2011-06-01,0.26,0.26,0.26,0.26,50000,0.26
2011-05-31,0.26,0.26,0.26,0.26,120000,0.26
2011-05-30,0.26,0.26,0.26,0.26,189000,0.26
2011-05-27,0.26,0.28,0.26,0.26,000,0.26
2011-05-26,0.26,0.26,0.26,0.26,000,0.26
2011-05-25,0.26,0.26,0.26,0.26,115000,0.26
2011-05-24,0.26,0.26,0.26,0.26,100000,0.26
2011-05-23,0.25,0.27,0.25,0.27,26000,0.27
